Strain Combination	Observed Count	Observed Ratio (%)	Simulated Mean Count	Simulated Std Dev	Simulated Mean (%)	Simulated Std Dev (%)	P_Value	D
glycerol2,lactate2	21	2.475	11.299	3.022	1.332	0.356	0.001	3.210
glycerol2,lactateE	38	4.174	23.930	4.612	2.628	0.506	0.008	3.051
glycerol2,lactateA	70	7.085	40.159	6.047	4.065	0.612	0.001	4.935
glycerol2,lactateB	131	12.494	57.891	6.621	5.521	0.631	0.001	11.042
glycerol2,lactateD	79	7.629	42.630	5.929	4.117	0.573	0.001	6.134
glycerol2,lactateC	119	11.339	50.592	6.411	4.821	0.611	0.001	10.671
glycerol2,lactate3	159	14.641	60.872	6.992	5.605	0.644	0.001	14.034
glycerolB,lactate2	39	2.613	19.843	3.997	1.330	0.268	0.001	4.793
glycerolB,lactateE	56	3.602	51.111	6.122	3.288	0.394	0.233	0.799
glycerolB,lactateA	121	7.414	83.356	7.780	5.108	0.477	0.001	4.839
glycerolB,lactateB	175	10.340	112.135	8.662	6.625	0.512	0.001	7.258
glycerolB,lactateD	148	8.812	98.742	8.629	5.879	0.514	0.001	5.709
glycerolB,lactateC	171	10.097	106.158	8.697	6.269	0.514	0.001	7.456
glycerolB,lactate3	228	13.179	119.985	9.371	6.936	0.542	0.001	11.527
glycerolA,lactate2	31	2.292	20.328	3.969	1.503	0.293	0.007	2.689
glycerolA,lactateE	62	4.383	49.415	6.209	3.493	0.439	0.028	2.027
glycerolA,lactateA	114	7.641	77.001	7.753	5.161	0.520	0.001	4.772
glycerolA,lactateB	157	10.113	97.538	8.703	6.283	0.561	0.001	6.832
glycerolA,lactateD	133	8.639	94.832	8.327	6.160	0.541	0.002	4.583
glycerolA,lactateC	182	11.715	96.611	8.671	6.219	0.558	0.001	9.848
glycerolA,lactate3	201	12.642	107.475	9.180	6.759	0.577	0.001	10.188
glycerolC,lactate2	32	2.217	20.933	4.142	1.450	0.287	0.009	2.672
glycerolC,lactateE	61	4.052	51.095	6.135	3.394	0.408	0.067	1.614
glycerolC,lactateA	110	6.949	82.290	7.932	5.198	0.501	0.001	3.493
glycerolC,lactateB	133	8.092	107.632	8.870	6.549	0.540	0.003	2.860
glycerolC,lactateD	140	8.586	97.638	8.636	5.988	0.530	0.001	4.905
glycerolC,lactateC	172	10.459	103.907	8.775	6.318	0.534	0.001	7.760
glycerolC,lactate3	198	11.779	119.317	9.318	7.098	0.554	0.001	8.444
glycerolE,lactate2	43	6.086	11.167	3.246	1.581	0.460	0.001	9.806
glycerolE,lactateE	92	11.971	25.663	4.744	3.339	0.617	0.001	13.985
glycerolE,lactateA	143	16.903	38.635	5.774	4.567	0.682	0.001	18.075
glycerolE,lactateB	179	19.746	47.042	6.300	5.189	0.695	0.001	20.946
glycerolE,lactateD	182	20.369	48.732	6.223	5.454	0.696	0.001	21.417
glycerolE,lactateC	192	21.157	47.900	6.459	5.278	0.712	0.001	22.310
glycerolE,lactate3	217	22.987	53.819	6.577	5.701	0.697	0.001	24.812
glycerolD,lactate2	32	2.159	21.067	4.342	1.422	0.293	0.015	2.518
glycerolD,lactateE	46	2.979	51.758	6.112	3.352	0.396	0.856	-0.942
glycerolD,lactateA	85	5.242	82.811	7.860	5.107	0.485	0.421	0.278
glycerolD,lactateB	123	7.313	106.615	8.717	6.339	0.518	0.040	1.880
glycerolD,lactateD	115	6.890	97.695	8.483	5.854	0.508	0.028	2.040
glycerolD,lactateC	149	8.853	104.171	8.634	6.190	0.513	0.001	5.192
glycerolD,lactate3	191	11.108	117.241	9.186	6.818	0.534	0.001	8.030
glycerol1,lactate2	45	6.579	9.681	2.922	1.415	0.427	0.001	12.088
glycerol1,lactateE	72	9.651	22.597	4.430	3.029	0.594	0.001	11.151
glycerol1,lactateA	142	17.243	35.437	5.616	4.303	0.682	0.001	18.974
glycerol1,lactateB	212	23.982	48.699	6.447	5.509	0.729	0.001	25.328
glycerol1,lactateD	169	19.403	42.408	6.073	4.869	0.697	0.001	20.846
glycerol1,lactateC	173	19.548	45.233	6.281	5.111	0.710	0.001	20.341
glycerol1,lactate3	224	24.308	52.261	6.526	5.671	0.708	0.001	26.316
