Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
glycerol1, glycerol2	87.78	30.22	1.04
glycerol1, glycerolA	63.87	36.66	0.78
glycerol1, glycerolB	59.38	37.82	0.71
glycerol1, glycerolC	60.88	37.50	0.72
glycerol1, glycerolD	59.70	37.71	0.74
glycerol1, glycerolE	98.13	27.45	1.10
glycerol2, glycerolA	74.99	43.02	0.74
glycerol2, glycerolB	70.12	44.67	0.69
glycerol2, glycerolC	71.75	44.09	0.74
glycerol2, glycerolD	70.46	44.55	0.70
glycerol2, glycerolE	89.63	30.87	1.04
glycerolA, glycerolB	94.73	60.39	0.61
glycerolA, glycerolC	96.51	59.34	0.62
glycerolA, glycerolD	95.11	60.16	0.59
glycerolA, glycerolE	65.51	37.53	0.76
glycerolB, glycerolC	98.22	62.59	0.57
glycerolB, glycerolD	99.62	63.51	0.54
glycerolB, glycerolE	60.95	38.86	0.70
glycerolC, glycerolD	98.59	62.35	0.57
glycerolC, glycerolE	62.47	38.42	0.73
glycerolD, glycerolE	61.27	38.77	0.73
glycerol1, glycerol2, glycerolA	68.04	13.38	0.74
glycerol1, glycerol2, glycerolB	64.57	14.17	0.67
glycerol1, glycerol2, glycerolC	65.74	13.89	0.73
glycerol1, glycerol2, glycerolD	64.81	14.11	0.72
glycerol1, glycerol2, glycerolE	90.46	8.69	0.75
glycerol1, glycerolA, glycerolB	54.55	19.93	0.66
glycerol1, glycerolA, glycerolC	55.39	19.49	0.68
glycerol1, glycerolA, glycerolD	54.73	19.86	0.69
glycerol1, glycerolA, glycerolE	71.96	11.51	0.69
glycerol1, glycerolB, glycerolC	53.07	20.78	0.64
glycerol1, glycerolB, glycerolD	52.46	21.14	0.66
glycerol1, glycerolB, glycerolE	68.09	12.09	0.70
glycerol1, glycerolC, glycerolD	53.24	20.67	0.65
glycerol1, glycerolC, glycerolE	69.39	11.92	0.66
glycerol1, glycerolD, glycerolE	68.36	12.11	0.68
glycerol2, glycerolA, glycerolB	66.38	24.24	0.69
glycerol2, glycerolA, glycerolC	67.35	23.71	0.69
glycerol2, glycerolA, glycerolD	66.58	24.15	0.70
glycerol2, glycerolA, glycerolE	70.02	13.81	0.72
glycerol2, glycerolB, glycerolC	64.66	25.34	0.71
glycerol2, glycerolB, glycerolD	63.95	25.78	0.70
glycerol2, glycerolB, glycerolE	66.48	14.61	0.71
glycerol2, glycerolC, glycerolD	64.85	25.20	0.69
glycerol2, glycerolC, glycerolE	67.68	14.31	0.72
glycerol2, glycerolD, glycerolE	66.73	14.51	0.72
