Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
lactate2, lactate3	24.09	3.31	0.81
lactate2, lactateA	28.26	3.02	0.94
lactate2, lactateB	22.02	3.10	0.86
lactate2, lactateC	28.42	3.26	0.86
lactate2, lactateD	26.54	3.35	0.87
lactate2, lactateE	39.11	2.79	1.04
lactate3, lactateA	40.50	6.20	0.96
lactate3, lactateB	47.79	6.98	0.96
lactate3, lactateC	44.36	7.10	1.01
lactate3, lactateD	47.50	6.99	0.95
lactate3, lactateE	31.51	4.87	0.91
lactateA, lactateB	44.34	5.87	0.98
lactateA, lactateC	46.72	5.91	0.98
lactateA, lactateD	46.83	5.88	1.02
lactateA, lactateE	41.03	4.24	0.99
lactateB, lactateC	48.89	6.62	0.94
lactateB, lactateD	46.07	6.11	0.94
lactateB, lactateE	32.81	4.42	0.94
lactateC, lactateD	51.57	6.67	0.99
lactateC, lactateE	36.30	4.75	0.94
lactateD, lactateE	38.85	4.94	1.03
lactate2, lactate3, lactateA	11.66	0.16	0.19
lactate2, lactate3, lactateB	9.21	0.19	0.19
lactate2, lactate3, lactateC	12.75	0.20	0.20
lactate2, lactate3, lactateD	13.22	0.21	0.21
lactate2, lactate3, lactateE	14.52	0.15	0.19
lactate2, lactateA, lactateB	9.70	0.15	0.18
lactate2, lactateA, lactateC	14.53	0.15	0.19
lactate2, lactateA, lactateD	13.38	0.16	0.20
lactate2, lactateA, lactateE	15.30	0.12	0.19
lactate2, lactateB, lactateC	10.37	0.17	0.19
lactate2, lactateB, lactateD	9.23	0.17	0.20
lactate2, lactateB, lactateE	11.92	0.12	0.18
lactate2, lactateC, lactateD	14.39	0.20	0.22
lactate2, lactateC, lactateE	16.88	0.12	0.18
lactate2, lactateD, lactateE	14.77	0.15	0.21
lactate3, lactateA, lactateB	20.68	0.39	0.26
lactate3, lactateA, lactateC	20.13	0.41	0.28
lactate3, lactateA, lactateD	21.71	0.41	0.28
lactate3, lactateA, lactateE	16.92	0.27	0.24
lactate3, lactateB, lactateC	22.40	0.46	0.27
lactate3, lactateB, lactateD	23.24	0.44	0.27
lactate3, lactateB, lactateE	13.87	0.29	0.24
