WT at 42C_1,ALE1 at 42C,WT at 42C_2,ALE2 at 42C,WT at 42C_3,ALE3 at 42C,WT at 42C_4,ALE4 at 42C,WT at 42C_5,ALE5 at 42C,WT at 42C_6,ALE6 at 42C,WT at 42C_7,ALE7 at 42C,WT at 42C_8,ALE8 at 42C,WT at 42C_9,ALE9 at 42C,WT at 42C_10,ALE10 at 42C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.6143,61.5805,64.6785,44.8733,69.8654,66.8878,63.7038,118.168,69.4369,53.5688,64.9412,32.8484,63.4671,83.3399,63.5675,83.7902,68.1933,56.7983,65.4569,99.1349
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.0284,63.1261,71.3041,51.9486,77.0224,62.7321,70.2296,111.317,76.55,59.1466,71.5937,39.1959,69.9687,84.0452,70.0793,85.1068,75.179,58.043,72.1623,102.104
6.64135,32.2741,6.87031,5.65586,7.42439,15.6188,6.76453,38.2489,7.37714,25.0201,6.9011,33.4807,6.7394,43.0223,6.74706,39.2274,7.24545,14.0763,6.953,23.7245
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.044,44.7384,20.7048,10.7308,22.3652,29.8857,20.3928,48.9117,22.228,29.2401,20.7889,48.9436,20.317,65.4316,20.3491,49.6276,21.83,20.5577,20.954,44.1111
28.3957,54.9013,29.3318,8.51234,31.6841,24.5868,28.8898,45.6256,31.4897,27.5357,29.4509,49.9817,28.7824,70.9013,28.8279,44.3936,30.9258,26.9453,29.6848,42.0207
9.32682,31.1428,9.64171,7.61853,10.4183,16.333,9.49642,39.4333,10.3544,15.7925,9.68398,38.5622,9.46114,38.4163,9.47268,20.1531,10.1689,15.0944,9.75776,33.9357
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118.764,98.6278,122.679,67.3162,132.518,95.0365,120.831,199.416,131.705,105.499,123.178,120.398,120.382,98.8104,120.572,136.062,129.346,53.3751,124.156,119.912
107.31,91.9413,110.848,67.7838,119.738,97.1776,109.178,202.252,119.003,109.844,111.298,120.398,108.772,106.363,108.944,125.134,116.872,55.7089,112.182,122.419
105.264,88.9264,108.738,61.4953,117.46,93.1599,107.099,212.084,116.739,108.061,109.181,122.957,106.701,111.871,106.869,125.83,114.648,54.192,110.047,123.355
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
