Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
NaCl-NaCl-1,KCl-KCl-1	33.3	0.6	1.0	32.91
NaCl-NaCl-1,KCl-KCl-2	24.0	0.3	0.9	25.26
NaCl-NaCl-1,KCl-KCl-3	42.0	0.4	1.0	43.66
NaCl-NaCl-1,KCl-KCl-4	33.3	0.4	1.0	34.01
NaCl-NaCl-1,KCl-KCl-5	2.8	0.2	0.8	3.09
NaCl-NaCl-2,KCl-KCl-1	40.0	0.5	1.0	41.43
NaCl-NaCl-2,KCl-KCl-2	23.3	0.3	1.0	22.67
NaCl-NaCl-2,KCl-KCl-3	51.5	0.3	1.0	52.91
NaCl-NaCl-2,KCl-KCl-4	19.0	0.3	1.0	18.28
NaCl-NaCl-2,KCl-KCl-5	3.6	0.2	0.8	4.07
NaCl-NaCl-3,KCl-KCl-1	14.3	0.4	0.9	14.86
NaCl-NaCl-3,KCl-KCl-2	41.0	0.3	1.3	32.13
NaCl-NaCl-3,KCl-KCl-3	40.0	0.2	1.0	38.83
NaCl-NaCl-3,KCl-KCl-4	42.9	0.2	0.9	45.18
NaCl-NaCl-3,KCl-KCl-5	5.7	0.3	1.3	4.19
NaCl-NaCl-4,KCl-KCl-1	16.2	0.2	0.8	19.59
NaCl-NaCl-4,KCl-KCl-2	48.3	0.2	1.3	37.83
NaCl-NaCl-4,KCl-KCl-3	40.0	0.1	0.8	48.67
NaCl-NaCl-4,KCl-KCl-4	31.2	0.2	1.0	30.68
NaCl-NaCl-4,KCl-KCl-5	8.0	0.1	0.9	8.71
NaCl-NaCl-5,KCl-KCl-1	12.7	0.3	0.8	14.80
NaCl-NaCl-5,KCl-KCl-2	29.4	0.2	1.1	27.81
NaCl-NaCl-5,KCl-KCl-3	25.0	0.2	0.9	26.97
NaCl-NaCl-5,KCl-KCl-4	32.4	0.2	1.2	27.80
NaCl-NaCl-5,KCl-KCl-5	13.3	0.2	1.1	12.39
NaCl-NaCl-1,CoCl2-CoCl2-1	2.1	0.5	1.1	1.49
NaCl-NaCl-1,CoCl2-CoCl2-2	0.0	0.2	0.8	-0.30
NaCl-NaCl-1,CoCl2-CoCl2-3	6.9	0.5	1.1	6.00
NaCl-NaCl-1,CoCl2-CoCl2-4	2.3	0.5	1.0	1.77
NaCl-NaCl-1,CoCl2-CoCl2-5	11.5	0.6	1.1	9.54
NaCl-NaCl-2,CoCl2-CoCl2-1	2.5	0.4	1.0	2.00
NaCl-NaCl-2,CoCl2-CoCl2-2	0.0	0.2	0.9	-0.25
NaCl-NaCl-2,CoCl2-CoCl2-3	0.0	0.5	1.1	-0.41
NaCl-NaCl-2,CoCl2-CoCl2-4	0.0	0.5	1.2	-0.41
NaCl-NaCl-2,CoCl2-CoCl2-5	0.0	0.5	1.1	-0.42
NaCl-NaCl-3,CoCl2-CoCl2-1	0.0	0.2	0.9	-0.26
NaCl-NaCl-3,CoCl2-CoCl2-2	0.0	0.2	1.1	-0.17
NaCl-NaCl-3,CoCl2-CoCl2-3	3.9	0.2	0.9	3.92
NaCl-NaCl-3,CoCl2-CoCl2-4	0.0	0.2	0.9	-0.25
NaCl-NaCl-3,CoCl2-CoCl2-5	15.7	0.1	0.7	22.51
NaCl-NaCl-4,CoCl2-CoCl2-1	0.0	0.1	0.6	-0.16
NaCl-NaCl-4,CoCl2-CoCl2-2	0.0	0.1	1.0	-0.11
NaCl-NaCl-4,CoCl2-CoCl2-3	0.0	0.1	0.7	-0.14
NaCl-NaCl-4,CoCl2-CoCl2-4	0.0	0.1	0.6	-0.12
NaCl-NaCl-4,CoCl2-CoCl2-5	0.0	0.0	0.0	0.00
NaCl-NaCl-5,CoCl2-CoCl2-1	0.0	0.2	0.8	-0.23
NaCl-NaCl-5,CoCl2-CoCl2-2	0.0	0.1	1.0	-0.14
NaCl-NaCl-5,CoCl2-CoCl2-3	0.0	0.2	0.8	-0.19
NaCl-NaCl-5,CoCl2-CoCl2-4	0.0	0.1	0.8	-0.19
NaCl-NaCl-5,CoCl2-CoCl2-5	0.0	0.1	0.7	-0.16
NaCl-NaCl-1,Na2CO3-Na2CO3-1	3.4	0.8	1.1	2.29
NaCl-NaCl-1,Na2CO3-Na2CO3-2	4.0	0.6	1.0	3.39
NaCl-NaCl-1,Na2CO3-Na2CO3-3	22.8	0.7	1.1	20.25
NaCl-NaCl-1,Na2CO3-Na2CO3-4	5.9	0.6	1.1	4.76
NaCl-NaCl-1,Na2CO3-Na2CO3-5	5.7	0.6	1.1	4.82
NaCl-NaCl-2,Na2CO3-Na2CO3-1	3.8	0.5	1.0	3.24
NaCl-NaCl-2,Na2CO3-Na2CO3-2	4.7	0.5	1.1	3.64
NaCl-NaCl-2,Na2CO3-Na2CO3-3	28.3	0.6	1.1	25.83
NaCl-NaCl-2,Na2CO3-Na2CO3-4	2.3	0.5	1.1	1.71
NaCl-NaCl-2,Na2CO3-Na2CO3-5	2.2	0.5	1.0	1.70
NaCl-NaCl-3,Na2CO3-Na2CO3-1	0.0	0.4	0.9	-0.38
NaCl-NaCl-3,Na2CO3-Na2CO3-2	0.0	0.3	0.9	-0.30
NaCl-NaCl-3,Na2CO3-Na2CO3-3	0.0	0.3	0.8	-0.33
NaCl-NaCl-3,Na2CO3-Na2CO3-4	3.0	0.3	0.9	2.95
NaCl-NaCl-3,Na2CO3-Na2CO3-5	2.9	0.3	1.0	2.55
NaCl-NaCl-4,Na2CO3-Na2CO3-1	0.0	0.2	0.7	-0.26
NaCl-NaCl-4,Na2CO3-Na2CO3-2	0.0	0.1	0.7	-0.19
NaCl-NaCl-4,Na2CO3-Na2CO3-3	0.0	0.1	0.6	-0.22
NaCl-NaCl-4,Na2CO3-Na2CO3-4	3.6	0.2	0.7	4.61
NaCl-NaCl-4,Na2CO3-Na2CO3-5	3.4	0.1	0.7	4.96
NaCl-NaCl-5,Na2CO3-Na2CO3-1	0.0	0.3	0.8	-0.33
NaCl-NaCl-5,Na2CO3-Na2CO3-2	0.0	0.3	1.0	-0.27
NaCl-NaCl-5,Na2CO3-Na2CO3-3	0.0	0.2	0.7	-0.27
NaCl-NaCl-5,Na2CO3-Na2CO3-4	3.3	0.2	0.9	3.42
NaCl-NaCl-5,Na2CO3-Na2CO3-5	3.1	0.2	0.8	3.39
NaCl-NaCl-1,Lac-Lac-1	0.0	0.2	0.7	-0.24
NaCl-NaCl-1,Lac-Lac-2	0.0	0.1	0.6	-0.20
NaCl-NaCl-1,Lac-Lac-3	2.8	0.3	0.8	3.12
NaCl-NaCl-1,Lac-Lac-4	0.0	0.2	0.8	-0.29
NaCl-NaCl-1,Lac-Lac-5	2.3	0.5	1.0	1.68
NaCl-NaCl-2,Lac-Lac-1	0.0	0.2	0.8	-0.20
NaCl-NaCl-2,Lac-Lac-2	0.0	0.1	0.8	-0.19
NaCl-NaCl-2,Lac-Lac-3	3.6	0.2	0.9	3.79
NaCl-NaCl-2,Lac-Lac-4	0.0	0.2	0.9	-0.23
NaCl-NaCl-2,Lac-Lac-5	0.0	0.4	1.0	-0.36
NaCl-NaCl-3,Lac-Lac-1	0.0	0.2	1.0	-0.15
NaCl-NaCl-3,Lac-Lac-2	0.0	0.2	1.2	-0.18
NaCl-NaCl-3,Lac-Lac-3	0.0	0.2	0.9	-0.17
NaCl-NaCl-3,Lac-Lac-4	0.0	0.3	1.2	-0.22
NaCl-NaCl-3,Lac-Lac-5	0.0	0.3	1.0	-0.28
NaCl-NaCl-4,Lac-Lac-1	0.0	0.1	0.9	-0.08
NaCl-NaCl-4,Lac-Lac-2	0.0	0.1	1.0	-0.11
NaCl-NaCl-4,Lac-Lac-3	0.0	0.1	1.0	-0.12
NaCl-NaCl-4,Lac-Lac-4	0.0	0.2	1.4	-0.17
NaCl-NaCl-4,Lac-Lac-5	0.0	0.2	1.0	-0.21
NaCl-NaCl-5,Lac-Lac-1	0.0	0.1	1.0	-0.12
NaCl-NaCl-5,Lac-Lac-2	0.0	0.1	1.0	-0.13
NaCl-NaCl-5,Lac-Lac-3	0.0	0.1	0.9	-0.14
NaCl-NaCl-5,Lac-Lac-4	0.0	0.2	1.1	-0.16
NaCl-NaCl-5,Lac-Lac-5	0.0	0.2	1.0	-0.23
NaCl-NaCl-1,Mal-Mal-1	0.0	0.1	0.6	-0.21
NaCl-NaCl-1,Mal-Mal-2	0.0	0.0	0.4	-0.11
NaCl-NaCl-1,Mal-Mal-3	0.0	0.4	1.0	-0.39
NaCl-NaCl-1,Mal-Mal-4	0.0	0.0	0.4	-0.12
NaCl-NaCl-1,Mal-Mal-5	0.0	0.2	0.7	-0.23
NaCl-NaCl-2,Mal-Mal-1	4.1	0.1	0.6	6.25
NaCl-NaCl-2,Mal-Mal-2	0.0	0.0	0.4	-0.08
NaCl-NaCl-2,Mal-Mal-3	3.4	0.3	1.0	3.11
NaCl-NaCl-2,Mal-Mal-4	0.0	0.0	0.3	-0.06
NaCl-NaCl-2,Mal-Mal-5	0.0	0.2	0.8	-0.20
NaCl-NaCl-3,Mal-Mal-1	0.0	0.2	1.1	-0.16
NaCl-NaCl-3,Mal-Mal-2	8.7	0.1	0.9	9.07
NaCl-NaCl-3,Mal-Mal-3	0.0	0.2	0.9	-0.18
NaCl-NaCl-3,Mal-Mal-4	8.7	0.1	0.8	10.49
NaCl-NaCl-3,Mal-Mal-5	0.0	0.2	1.1	-0.17
NaCl-NaCl-4,Mal-Mal-1	0.0	0.1	1.0	-0.10
NaCl-NaCl-4,Mal-Mal-2	0.0	0.0	0.8	-0.05
NaCl-NaCl-4,Mal-Mal-3	0.0	0.1	0.9	-0.13
NaCl-NaCl-4,Mal-Mal-4	0.0	0.1	1.4	-0.09
NaCl-NaCl-4,Mal-Mal-5	0.0	0.1	1.1	-0.11
NaCl-NaCl-5,Mal-Mal-1	0.0	0.2	1.3	-0.15
NaCl-NaCl-5,Mal-Mal-2	11.1	0.1	0.9	12.87
NaCl-NaCl-5,Mal-Mal-3	0.0	0.1	0.9	-0.15
