Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
NaCl-NaCl-1,KCl-KCl-1	33.3	1.3	1.5	22.02
NaCl-NaCl-1,KCl-KCl-2	24.0	0.6	1.3	18.05
NaCl-NaCl-1,KCl-KCl-3	42.0	0.7	1.3	32.71
NaCl-NaCl-1,KCl-KCl-4	33.3	0.7	1.4	24.10
NaCl-NaCl-1,KCl-KCl-5	2.8	0.5	1.2	1.88
NaCl-NaCl-2,KCl-KCl-1	40.0	1.1	1.5	26.83
NaCl-NaCl-2,KCl-KCl-2	23.3	0.5	1.4	16.73
NaCl-NaCl-2,KCl-KCl-3	51.5	0.6	1.4	37.38
NaCl-NaCl-2,KCl-KCl-4	19.0	0.6	1.4	13.03
NaCl-NaCl-2,KCl-KCl-5	3.6	0.5	1.4	2.25
NaCl-NaCl-3,KCl-KCl-1	14.3	0.7	1.2	11.11
NaCl-NaCl-3,KCl-KCl-2	41.0	0.4	1.3	31.29
NaCl-NaCl-3,KCl-KCl-3	40.0	0.5	1.5	26.12
NaCl-NaCl-3,KCl-KCl-4	42.9	0.5	1.5	27.55
NaCl-NaCl-3,KCl-KCl-5	5.7	0.4	1.4	3.79
NaCl-NaCl-4,KCl-KCl-1	16.2	0.5	1.1	14.62
NaCl-NaCl-4,KCl-KCl-2	48.3	0.3	1.6	30.31
NaCl-NaCl-4,KCl-KCl-3	40.0	0.4	1.5	26.98
NaCl-NaCl-4,KCl-KCl-4	31.2	0.3	1.4	22.46
NaCl-NaCl-4,KCl-KCl-5	8.0	0.2	1.3	5.89
NaCl-NaCl-5,KCl-KCl-1	12.7	0.5	1.1	10.65
NaCl-NaCl-5,KCl-KCl-2	29.4	0.4	1.6	17.94
NaCl-NaCl-5,KCl-KCl-3	25.0	0.4	1.5	16.87
NaCl-NaCl-5,KCl-KCl-4	32.4	0.5	1.6	20.30
NaCl-NaCl-5,KCl-KCl-5	13.3	0.3	1.4	9.04
NaCl-NaCl-1,CoCl2-CoCl2-1	4.3	1.0	1.5	2.13
NaCl-NaCl-1,CoCl2-CoCl2-2	2.9	0.5	1.2	1.98
NaCl-NaCl-1,CoCl2-CoCl2-3	9.2	0.9	1.4	5.82
NaCl-NaCl-1,CoCl2-CoCl2-4	2.3	0.9	1.4	0.93
NaCl-NaCl-1,CoCl2-CoCl2-5	13.8	0.9	1.5	8.80
NaCl-NaCl-2,CoCl2-CoCl2-1	2.5	0.9	1.5	1.03
NaCl-NaCl-2,CoCl2-CoCl2-2	0.0	0.5	1.5	-0.36
NaCl-NaCl-2,CoCl2-CoCl2-3	0.0	0.9	1.5	-0.56
NaCl-NaCl-2,CoCl2-CoCl2-4	0.0	0.8	1.5	-0.54
NaCl-NaCl-2,CoCl2-CoCl2-5	0.0	0.8	1.5	-0.55
NaCl-NaCl-3,CoCl2-CoCl2-1	3.4	0.7	1.5	1.86
NaCl-NaCl-3,CoCl2-CoCl2-2	5.9	0.4	1.4	3.96
NaCl-NaCl-3,CoCl2-CoCl2-3	7.8	0.5	1.5	4.86
NaCl-NaCl-3,CoCl2-CoCl2-4	0.0	0.5	1.4	-0.36
NaCl-NaCl-3,CoCl2-CoCl2-5	19.6	0.6	1.5	12.96
NaCl-NaCl-4,CoCl2-CoCl2-1	0.0	0.4	1.2	-0.30
NaCl-NaCl-4,CoCl2-CoCl2-2	0.0	0.3	1.6	-0.19
NaCl-NaCl-4,CoCl2-CoCl2-3	0.0	0.4	1.3	-0.28
NaCl-NaCl-4,CoCl2-CoCl2-4	0.0	0.4	1.3	-0.29
NaCl-NaCl-4,CoCl2-CoCl2-5	0.0	0.4	1.3	-0.28
NaCl-NaCl-5,CoCl2-CoCl2-1	0.0	0.4	1.2	-0.35
NaCl-NaCl-5,CoCl2-CoCl2-2	0.0	0.4	1.6	-0.23
NaCl-NaCl-5,CoCl2-CoCl2-3	0.0	0.4	1.2	-0.30
NaCl-NaCl-5,CoCl2-CoCl2-4	0.0	0.4	1.3	-0.32
NaCl-NaCl-5,CoCl2-CoCl2-5	0.0	0.5	1.4	-0.32
NaCl-NaCl-1,Na2CO3-Na2CO3-1	13.4	1.3	1.5	8.14
NaCl-NaCl-1,Na2CO3-Na2CO3-2	16.0	1.1	1.5	9.92
NaCl-NaCl-1,Na2CO3-Na2CO3-3	36.8	1.4	1.6	22.71
NaCl-NaCl-1,Na2CO3-Na2CO3-4	19.6	1.1	1.5	12.48
NaCl-NaCl-1,Na2CO3-Na2CO3-5	21.0	1.1	1.5	13.67
NaCl-NaCl-2,Na2CO3-Na2CO3-1	15.4	1.1	1.5	9.67
NaCl-NaCl-2,Na2CO3-Na2CO3-2	18.8	1.0	1.5	11.95
NaCl-NaCl-2,Na2CO3-Na2CO3-3	40.4	1.1	1.5	26.47
NaCl-NaCl-2,Na2CO3-Na2CO3-4	16.1	0.9	1.4	10.60
NaCl-NaCl-2,Na2CO3-Na2CO3-5	17.8	0.9	1.4	11.97
NaCl-NaCl-3,Na2CO3-Na2CO3-1	14.5	0.6	1.2	11.15
NaCl-NaCl-3,Na2CO3-Na2CO3-2	18.8	0.6	1.4	13.04
NaCl-NaCl-3,Na2CO3-Na2CO3-3	20.5	0.7	1.3	15.37
NaCl-NaCl-3,Na2CO3-Na2CO3-4	24.2	0.6	1.4	17.45
NaCl-NaCl-3,Na2CO3-Na2CO3-5	20.3	0.6	1.3	15.33
NaCl-NaCl-4,Na2CO3-Na2CO3-1	16.4	0.3	0.9	17.76
NaCl-NaCl-4,Na2CO3-Na2CO3-2	22.2	0.4	1.1	19.18
NaCl-NaCl-4,Na2CO3-Na2CO3-3	17.6	0.4	1.0	16.49
NaCl-NaCl-4,Na2CO3-Na2CO3-4	25.0	0.3	1.1	22.73
NaCl-NaCl-4,Na2CO3-Na2CO3-5	23.7	0.4	1.1	20.78
NaCl-NaCl-5,Na2CO3-Na2CO3-1	15.4	0.5	1.1	13.62
NaCl-NaCl-5,Na2CO3-Na2CO3-2	20.3	0.5	1.3	15.55
NaCl-NaCl-5,Na2CO3-Na2CO3-3	16.4	0.5	1.2	13.78
NaCl-NaCl-5,Na2CO3-Na2CO3-4	23.0	0.4	1.2	18.70
NaCl-NaCl-5,Na2CO3-Na2CO3-5	21.9	0.5	1.3	16.29
NaCl-NaCl-1,Lac-Lac-1	3.1	0.4	1.2	2.30
NaCl-NaCl-1,Lac-Lac-2	3.0	0.4	1.1	2.43
NaCl-NaCl-1,Lac-Lac-3	5.6	0.6	1.3	4.00
NaCl-NaCl-1,Lac-Lac-4	2.9	0.5	1.2	2.02
NaCl-NaCl-1,Lac-Lac-5	4.5	0.9	1.4	2.54
NaCl-NaCl-2,Lac-Lac-1	0.0	0.3	1.0	-0.27
NaCl-NaCl-2,Lac-Lac-2	0.0	0.4	1.3	-0.34
NaCl-NaCl-2,Lac-Lac-3	3.6	0.5	1.3	2.43
NaCl-NaCl-2,Lac-Lac-4	0.0	0.5	1.3	-0.36
NaCl-NaCl-2,Lac-Lac-5	0.0	0.7	1.4	-0.52
NaCl-NaCl-3,Lac-Lac-1	6.9	0.3	1.5	4.50
NaCl-NaCl-3,Lac-Lac-2	6.7	0.4	1.5	4.07
NaCl-NaCl-3,Lac-Lac-3	5.7	0.4	1.5	3.65
NaCl-NaCl-3,Lac-Lac-4	5.9	0.3	1.3	4.15
NaCl-NaCl-3,Lac-Lac-5	3.8	0.5	1.4	2.37
NaCl-NaCl-4,Lac-Lac-1	0.0	0.2	1.3	-0.13
NaCl-NaCl-4,Lac-Lac-2	0.0	0.2	1.4	-0.14
NaCl-NaCl-4,Lac-Lac-3	0.0	0.3	1.6	-0.19
NaCl-NaCl-4,Lac-Lac-4	0.0	0.3	1.7	-0.20
NaCl-NaCl-4,Lac-Lac-5	0.0	0.3	1.2	-0.26
NaCl-NaCl-5,Lac-Lac-1	0.0	0.3	1.5	-0.18
NaCl-NaCl-5,Lac-Lac-2	0.0	0.4	1.7	-0.21
NaCl-NaCl-5,Lac-Lac-3	0.0	0.3	1.4	-0.21
NaCl-NaCl-5,Lac-Lac-4	0.0	0.3	1.5	-0.23
NaCl-NaCl-5,Lac-Lac-5	0.0	0.4	1.3	-0.31
NaCl-NaCl-1,Mal-Mal-1	9.4	0.3	1.0	8.89
NaCl-NaCl-1,Mal-Mal-2	0.0	0.2	0.7	-0.22
NaCl-NaCl-1,Mal-Mal-3	2.7	0.6	1.3	1.60
NaCl-NaCl-1,Mal-Mal-4	0.0	0.1	0.7	-0.20
NaCl-NaCl-1,Mal-Mal-5	12.3	0.3	1.0	12.42
NaCl-NaCl-2,Mal-Mal-1	4.1	0.3	1.0	3.65
NaCl-NaCl-2,Mal-Mal-2	0.0	0.1	0.7	-0.17
NaCl-NaCl-2,Mal-Mal-3	3.4	0.5	1.3	2.15
NaCl-NaCl-2,Mal-Mal-4	0.0	0.2	0.9	-0.20
NaCl-NaCl-2,Mal-Mal-5	0.0	0.3	1.1	-0.30
NaCl-NaCl-3,Mal-Mal-1	0.0	0.3	1.5	-0.20
NaCl-NaCl-3,Mal-Mal-2	8.7	0.1	0.9	9.07
NaCl-NaCl-3,Mal-Mal-3	0.0	0.5	1.6	-0.30
NaCl-NaCl-3,Mal-Mal-4	8.7	0.2	1.3	6.67
NaCl-NaCl-3,Mal-Mal-5	13.8	0.3	1.6	8.43
NaCl-NaCl-4,Mal-Mal-1	0.0	0.1	1.3	-0.11
NaCl-NaCl-4,Mal-Mal-2	0.0	0.1	1.5	-0.10
NaCl-NaCl-4,Mal-Mal-3	0.0	0.3	1.4	-0.20
NaCl-NaCl-4,Mal-Mal-4	0.0	0.1	1.4	-0.09
NaCl-NaCl-4,Mal-Mal-5	0.0	0.2	1.4	-0.14
NaCl-NaCl-5,Mal-Mal-1	0.0	0.2	1.3	-0.15
NaCl-NaCl-5,Mal-Mal-2	11.1	0.1	1.0	11.14
NaCl-NaCl-5,Mal-Mal-3	0.0	0.4	1.6	-0.27
NaCl-NaCl-5,Mal-Mal-4	11.1	0.1	1.0	10.49
NaCl-NaCl-5,Mal-Mal-5	0.0	0.3	1.6	-0.19
NaCl-NaCl-1,MCL-MCL-1	7.6	0.7	1.4	5.00
NaCl-NaCl-1,MCL-MCL-2	8.7	0.5	1.1	7.26
NaCl-NaCl-1,MCL-MCL-3	9.6	0.9	1.5	5.73
NaCl-NaCl-1,MCL-MCL-4	8.0	1.1	1.5	4.68
NaCl-NaCl-1,MCL-MCL-5	7.5	0.7	1.3	5.08
NaCl-NaCl-2,MCL-MCL-1	3.1	0.7	1.4	1.74
NaCl-NaCl-2,MCL-MCL-2	0.0	0.5	1.3	-0.38
NaCl-NaCl-2,MCL-MCL-3	0.0	0.7	1.5	-0.49
NaCl-NaCl-2,MCL-MCL-4	0.0	1.0	1.5	-0.67
NaCl-NaCl-2,MCL-MCL-5	0.0	0.6	1.4	-0.46
NaCl-NaCl-3,MCL-MCL-1	0.0	0.5	1.5	-0.34
NaCl-NaCl-3,MCL-MCL-2	0.0	0.3	1.3	-0.22
NaCl-NaCl-3,MCL-MCL-3	4.3	0.6	1.6	2.35
NaCl-NaCl-3,MCL-MCL-4	3.1	0.6	1.4	1.80
NaCl-NaCl-3,MCL-MCL-5	0.0	0.5	1.5	-0.33
NaCl-NaCl-4,MCL-MCL-1	0.0	0.3	1.4	-0.23
NaCl-NaCl-4,MCL-MCL-2	0.0	0.3	1.5	-0.18
NaCl-NaCl-4,MCL-MCL-3	0.0	0.4	1.5	-0.26
NaCl-NaCl-4,MCL-MCL-4	0.0	0.4	1.2	-0.32
NaCl-NaCl-4,MCL-MCL-5	0.0	0.2	1.2	-0.20
NaCl-NaCl-5,MCL-MCL-1	0.0	0.5	1.6	-0.30
NaCl-NaCl-5,MCL-MCL-2	0.0	0.3	1.5	-0.21
NaCl-NaCl-5,MCL-MCL-3	0.0	0.4	1.4	-0.30
NaCl-NaCl-5,MCL-MCL-4	0.0	0.5	1.3	-0.37
NaCl-NaCl-5,MCL-MCL-5	0.0	0.4	1.3	-0.27
NaCl-NaCl-1,Cro-Cro-1	29.6	1.2	1.5	18.93
NaCl-NaCl-1,Cro-Cro-2	31.0	1.3	1.5	20.17
NaCl-NaCl-1,Cro-Cro-3	20.3	0.7	1.4	14.31
NaCl-NaCl-1,Cro-Cro-4	42.2	1.2	1.4	28.66
NaCl-NaCl-1,Cro-Cro-5	17.8	1.0	1.5	10.95
NaCl-NaCl-2,Cro-Cro-1	22.0	1.1	1.4	14.97
NaCl-NaCl-2,Cro-Cro-2	25.7	1.1	1.5	16.41
NaCl-NaCl-2,Cro-Cro-3	18.8	0.6	1.4	13.19
NaCl-NaCl-2,Cro-Cro-4	40.4	1.0	1.5	27.04
NaCl-NaCl-2,Cro-Cro-5	16.0	0.8	1.4	10.83
NaCl-NaCl-3,Cro-Cro-1	27.8	0.7	1.3	20.46
NaCl-NaCl-3,Cro-Cro-2	27.5	0.7	1.3	20.71
NaCl-NaCl-3,Cro-Cro-3	27.9	0.5	1.5	18.04
NaCl-NaCl-3,Cro-Cro-4	30.1	0.6	1.3	23.13
