Strain Combination	Observed Ratio (%)	Observed Count	Simulated Mean (%)	Simulated Std Dev (%)	D Value
NaCl-NaCl-1,KCl-KCl-1	30.00	18	0.57	0.98	30.16
NaCl-NaCl-1,KCl-KCl-2	24.00	9	0.26	0.85	27.93
NaCl-NaCl-1,KCl-KCl-3	41.98	17	0.40	0.96	43.51
NaCl-NaCl-1,KCl-KCl-4	33.33	13	0.40	0.99	33.12
NaCl-NaCl-1,KCl-KCl-5	2.82	1	0.23	0.82	3.16
NaCl-NaCl-2,KCl-KCl-1	36.19	19	0.47	0.91	39.23
NaCl-NaCl-2,KCl-KCl-2	23.33	7	0.24	0.91	25.33
NaCl-NaCl-2,KCl-KCl-3	48.48	16	0.36	1.03	46.62
NaCl-NaCl-2,KCl-KCl-4	19.05	6	0.30	0.95	19.78
NaCl-NaCl-2,KCl-KCl-5	3.57	1	0.20	0.87	3.86
NaCl-NaCl-3,KCl-KCl-1	9.52	4	0.30	0.89	10.35
NaCl-NaCl-3,KCl-KCl-2	41.03	8	0.27	1.17	34.79
NaCl-NaCl-3,KCl-KCl-3	40.00	9	0.27	1.10	36.11
NaCl-NaCl-3,KCl-KCl-4	42.86	9	0.26	1.13	37.81
NaCl-NaCl-3,KCl-KCl-5	5.71	1	0.23	1.18	4.66
NaCl-NaCl-4,KCl-KCl-1	10.81	4	0.23	0.80	13.15
NaCl-NaCl-4,KCl-KCl-2	48.28	7	0.21	1.20	40.21
NaCl-NaCl-4,KCl-KCl-3	40.00	7	0.11	0.78	51.13
NaCl-NaCl-4,KCl-KCl-4	31.25	5	0.14	0.98	31.82
NaCl-NaCl-4,KCl-KCl-5	8.00	1	0.14	1.06	7.39
NaCl-NaCl-5,KCl-KCl-1	10.13	4	0.22	0.72	13.79
NaCl-NaCl-5,KCl-KCl-2	29.41	5	0.25	1.24	23.57
NaCl-NaCl-5,KCl-KCl-3	25.00	5	0.18	0.92	27.02
NaCl-NaCl-5,KCl-KCl-4	32.43	6	0.18	1.01	31.96
NaCl-NaCl-5,KCl-KCl-5	13.33	2	0.21	1.19	11.00
NaCl-NaCl-1,CoCl2-CoCl2-1	0.00	0	0.65	1.16	-0.56
NaCl-NaCl-1,CoCl2-CoCl2-2	0.00	0	0.28	0.89	-0.31
NaCl-NaCl-1,CoCl2-CoCl2-3	6.90	3	0.46	1.02	6.34
NaCl-NaCl-1,CoCl2-CoCl2-4	2.27	1	0.50	1.06	1.68
NaCl-NaCl-1,CoCl2-CoCl2-5	11.49	5	0.53	1.12	9.81
NaCl-NaCl-2,CoCl2-CoCl2-1	0.00	0	0.47	1.15	-0.41
NaCl-NaCl-2,CoCl2-CoCl2-2	0.00	0	0.21	0.87	-0.24
NaCl-NaCl-2,CoCl2-CoCl2-3	0.00	0	0.45	1.13	-0.40
NaCl-NaCl-2,CoCl2-CoCl2-4	0.00	0	0.45	1.10	-0.41
NaCl-NaCl-2,CoCl2-CoCl2-5	0.00	0	0.44	1.11	-0.40
NaCl-NaCl-3,CoCl2-CoCl2-1	0.00	0	0.26	0.97	-0.26
NaCl-NaCl-3,CoCl2-CoCl2-2	0.00	0	0.24	1.17	-0.21
NaCl-NaCl-3,CoCl2-CoCl2-3	3.92	1	0.19	0.86	4.36
NaCl-NaCl-3,CoCl2-CoCl2-4	0.00	0	0.19	0.87	-0.22
NaCl-NaCl-3,CoCl2-CoCl2-5	15.69	4	0.13	0.69	22.55
NaCl-NaCl-4,CoCl2-CoCl2-1	0.00	0	0.09	0.61	-0.15
NaCl-NaCl-4,CoCl2-CoCl2-2	0.00	0	0.11	0.94	-0.11
NaCl-NaCl-4,CoCl2-CoCl2-3	0.00	0	0.04	0.46	-0.10
NaCl-NaCl-4,CoCl2-CoCl2-4	0.00	0	0.07	0.56	-0.12
NaCl-NaCl-4,CoCl2-CoCl2-5	0.00	0	0.00	0.00	0.00
NaCl-NaCl-5,CoCl2-CoCl2-1	0.00	0	0.18	0.81	-0.22
NaCl-NaCl-5,CoCl2-CoCl2-2	0.00	0	0.15	1.01	-0.15
NaCl-NaCl-5,CoCl2-CoCl2-3	0.00	0	0.17	0.84	-0.20
NaCl-NaCl-5,CoCl2-CoCl2-4	0.00	0	0.11	0.68	-0.16
NaCl-NaCl-5,CoCl2-CoCl2-5	0.00	0	0.14	0.79	-0.18
NaCl-NaCl-1,Na2CO3-Na2CO3-1	3.36	2	0.63	1.05	2.60
NaCl-NaCl-1,Na2CO3-Na2CO3-2	4.00	2	0.53	0.97	3.59
NaCl-NaCl-1,Na2CO3-Na2CO3-3	22.81	13	0.61	1.08	20.49
NaCl-NaCl-1,Na2CO3-Na2CO3-4	5.88	3	0.58	1.07	4.97
NaCl-NaCl-1,Na2CO3-Na2CO3-5	5.71	3	0.63	1.06	4.80
NaCl-NaCl-2,Na2CO3-Na2CO3-1	3.85	2	0.51	0.97	3.42
NaCl-NaCl-2,Na2CO3-Na2CO3-2	4.71	2	0.45	0.99	4.31
NaCl-NaCl-2,Na2CO3-Na2CO3-3	26.26	13	0.54	1.08	23.88
NaCl-NaCl-2,Na2CO3-Na2CO3-4	2.30	1	0.46	1.05	1.76
NaCl-NaCl-2,Na2CO3-Na2CO3-5	2.22	1	0.48	1.06	1.65
NaCl-NaCl-3,Na2CO3-Na2CO3-1	0.00	0	0.30	0.88	-0.35
NaCl-NaCl-3,Na2CO3-Na2CO3-2	0.00	0	0.28	0.92	-0.30
NaCl-NaCl-3,Na2CO3-Na2CO3-3	0.00	0	0.25	0.81	-0.31
NaCl-NaCl-3,Na2CO3-Na2CO3-4	3.03	1	0.28	0.93	2.95
NaCl-NaCl-3,Na2CO3-Na2CO3-5	2.90	1	0.28	0.88	2.97
NaCl-NaCl-4,Na2CO3-Na2CO3-1	0.00	0	0.16	0.66	-0.25
NaCl-NaCl-4,Na2CO3-Na2CO3-2	0.00	0	0.17	0.81	-0.21
NaCl-NaCl-4,Na2CO3-Na2CO3-3	0.00	0	0.14	0.64	-0.22
NaCl-NaCl-4,Na2CO3-Na2CO3-4	3.57	1	0.11	0.63	5.50
NaCl-NaCl-4,Na2CO3-Na2CO3-5	3.39	1	0.15	0.70	4.61
NaCl-NaCl-5,Na2CO3-Na2CO3-1	0.00	0	0.29	0.86	-0.33
NaCl-NaCl-5,Na2CO3-Na2CO3-2	0.00	0	0.18	0.77	-0.23
NaCl-NaCl-5,Na2CO3-Na2CO3-3	0.00	0	0.20	0.74	-0.27
NaCl-NaCl-5,Na2CO3-Na2CO3-4	3.28	1	0.23	0.86	3.54
NaCl-NaCl-5,Na2CO3-Na2CO3-5	3.12	1	0.27	0.96	2.99
NaCl-NaCl-1,Lac-Lac-1	0.00	0	0.19	0.79	-0.24
NaCl-NaCl-1,Lac-Lac-2	0.00	0	0.18	0.73	-0.25
NaCl-NaCl-1,Lac-Lac-3	0.00	0	0.27	0.86	-0.32
NaCl-NaCl-1,Lac-Lac-4	0.00	0	0.19	0.73	-0.26
NaCl-NaCl-1,Lac-Lac-5	2.27	1	0.42	0.96	1.92
NaCl-NaCl-2,Lac-Lac-1	0.00	0	0.18	0.86	-0.21
NaCl-NaCl-2,Lac-Lac-2	0.00	0	0.16	0.78	-0.21
NaCl-NaCl-2,Lac-Lac-3	0.00	0	0.25	0.98	-0.26
NaCl-NaCl-2,Lac-Lac-4	0.00	0	0.25	0.93	-0.27
