Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1, Ara+2	79.37	33.20	0.78
Ara+1, Ara+3	77.95	33.07	0.75
Ara+1, Ara+4	79.06	32.22	0.80
Ara+1, Ara+5	76.77	32.65	0.75
Ara+1, Ara-1	58.75	31.49	0.80
Ara+1, Ara-2	57.40	33.24	0.76
Ara+1, Ara-3	57.35	33.29	0.74
Ara+1, Ara-4	57.76	31.73	0.77
Ara+1, Ara-5	59.94	31.70	0.82
Ara+1, Ara-6	58.00	32.74	0.78
Ara+2, Ara+3	76.48	36.83	0.74
Ara+2, Ara+4	80.29	35.59	0.79
Ara+2, Ara+5	77.48	36.74	0.78
Ara+2, Ara-1	56.68	32.61	0.80
Ara+2, Ara-2	61.94	37.85	0.73
Ara+2, Ara-3	61.43	37.61	0.73
Ara+2, Ara-4	60.38	34.90	0.74
Ara+2, Ara-5	62.45	34.62	0.76
Ara+2, Ara-6	66.38	37.23	0.72
Ara+3, Ara+4	74.73	35.34	0.76
Ara+3, Ara+5	75.12	36.45	0.75
Ara+3, Ara-1	57.75	32.43	0.75
Ara+3, Ara-2	66.14	37.62	0.74
Ara+3, Ara-3	63.70	37.40	0.69
Ara+3, Ara-4	62.81	34.66	0.80
Ara+3, Ara-5	60.97	34.40	0.76
Ara+3, Ara-6	63.99	37.03	0.73
Ara+4, Ara+5	76.76	35.21	0.72
Ara+4, Ara-1	57.38	31.66	0.81
Ara+4, Ara-2	60.60	36.22	0.74
Ara+4, Ara-3	60.46	36.06	0.75
Ara+4, Ara-4	60.53	33.54	0.74
Ara+4, Ara-5	63.58	33.39	0.79
Ara+4, Ara-6	65.09	35.69	0.77
Ara+5, Ara-1	58.01	31.99	0.75
Ara+5, Ara-2	63.81	37.58	0.74
Ara+5, Ara-3	62.74	37.32	0.75
Ara+5, Ara-4	61.36	34.54	0.74
Ara+5, Ara-5	64.61	34.29	0.77
Ara+5, Ara-6	65.52	37.00	0.77
Ara-1, Ara-2	72.64	32.71	0.73
Ara-1, Ara-3	72.36	32.69	0.76
Ara-1, Ara-4	76.58	31.08	0.79
Ara-1, Ara-5	80.24	31.09	0.76
Ara-1, Ara-6	73.15	32.22	0.76
Ara-2, Ara-3	76.06	38.52	0.73
Ara-2, Ara-4	74.23	35.56	0.75
Ara-2, Ara-5	74.03	35.19	0.77
Ara-2, Ara-6	74.98	38.19	0.76
Ara-3, Ara-4	77.59	35.33	0.76
Ara-3, Ara-5	73.97	35.05	0.74
Ara-3, Ara-6	73.39	37.89	0.73
Ara-4, Ara-5	74.75	32.80	0.75
Ara-4, Ara-6	73.01	35.03	0.75
Ara-5, Ara-6	76.52	34.70	0.76
Ara+1, Ara+2, Ara+3	68.60	12.73	0.56
Ara+1, Ara+2, Ara+4	70.83	12.20	0.55
Ara+1, Ara+2, Ara+5	68.27	12.66	0.55
Ara+1, Ara+2, Ara-1	49.02	10.96	0.57
Ara+1, Ara+2, Ara-2	51.32	13.12	0.56
Ara+1, Ara+2, Ara-3	51.18	13.04	0.57
Ara+1, Ara+2, Ara-4	50.78	11.87	0.55
Ara+1, Ara+2, Ara-5	52.02	11.77	0.54
Ara+1, Ara+2, Ara-6	53.60	12.87	0.57
Ara+1, Ara+3, Ara+4	68.10	12.09	0.56
Ara+1, Ara+3, Ara+5	67.14	12.58	0.55
Ara+1, Ara+3, Ara-1	49.15	10.88	0.56
Ara+1, Ara+3, Ara-2	52.72	13.03	0.57
Ara+1, Ara+3, Ara-3	51.83	12.95	0.57
Ara+1, Ara+3, Ara-4	51.18	11.83	0.56
Ara+1, Ara+3, Ara-5	51.30	11.69	0.55
Ara+1, Ara+3, Ara-6	52.15	12.77	0.58
Ara+1, Ara+4, Ara+5	68.03	12.00	0.57
Ara+1, Ara+4, Ara-1	49.49	10.52	0.55
Ara+1, Ara+4, Ara-2	51.15	12.44	0.57
Ara+1, Ara+4, Ara-3	51.12	12.35	0.55
Ara+1, Ara+4, Ara-4	51.02	11.32	0.56
Ara+1, Ara+4, Ara-5	52.92	11.21	0.58
Ara+1, Ara+4, Ara-6	53.35	12.21	0.56
Ara+1, Ara+5, Ara-1	48.59	10.75	0.54
Ara+1, Ara+5, Ara-2	51.53	12.99	0.56
Ara+1, Ara+5, Ara-3	51.05	12.90	0.55
Ara+1, Ara+5, Ara-4	50.41	11.71	0.56
Ara+1, Ara+5, Ara-5	52.47	11.62	0.59
Ara+1, Ara+5, Ara-6	52.57	12.70	0.58
Ara+1, Ara-1, Ara-2	47.14	11.08	0.56
Ara+1, Ara-1, Ara-3	46.89	11.05	0.54
Ara+1, Ara-1, Ara-4	49.43	10.29	0.56
Ara+1, Ara-1, Ara-5	51.37	10.26	0.54
Ara+1, Ara-1, Ara-6	47.49	10.87	0.56
Ara+1, Ara-2, Ara-3	48.88	13.38	0.55
Ara+1, Ara-2, Ara-4	47.90	12.15	0.57
Ara+1, Ara-2, Ara-5	48.44	12.00	0.56
Ara+1, Ara-2, Ara-6	48.46	13.22	0.57
Ara+1, Ara-3, Ara-4	49.42	12.08	0.56
Ara+1, Ara-3, Ara-5	48.61	11.92	0.56
Ara+1, Ara-3, Ara-6	48.13	13.13	0.55
Ara+1, Ara-4, Ara-5	49.33	10.98	0.55
Ara+1, Ara-4, Ara-6	47.93	11.89	0.55
Ara+1, Ara-5, Ara-6	49.84	11.78	0.55
Ara+2, Ara+3, Ara+4	67.83	14.28	0.59
Ara+2, Ara+3, Ara+5	67.24	14.99	0.60
Ara+2, Ara+3, Ara-1	47.93	12.46	0.57
Ara+2, Ara+3, Ara-2	54.50	15.60	0.58
Ara+2, Ara+3, Ara-3	53.19	15.47	0.60
Ara+2, Ara+3, Ara-4	51.59	13.90	0.57
Ara+2, Ara+3, Ara-5	52.12	13.74	0.58
Ara+2, Ara+3, Ara-6	55.33	15.31	0.59
Ara+2, Ara+4, Ara+5	69.20	14.26	0.57
Ara+2, Ara+4, Ara-1	49.20	11.90	0.57
Ara+2, Ara+4, Ara-2	53.51	14.85	0.58
Ara+2, Ara+4, Ara-3	53.09	14.72	0.57
Ara+2, Ara+4, Ara-4	52.46	13.28	0.56
Ara+2, Ara+4, Ara-5	54.34	13.06	0.60
Ara+2, Ara+4, Ara-6	57.34	14.55	0.61
Ara+2, Ara+5, Ara-1	48.34	12.40	0.56
Ara+2, Ara+5, Ara-2	54.16	15.58	0.58
Ara+2, Ara+5, Ara-3	53.48	15.49	0.59
Ara+2, Ara+5, Ara-4	52.12	13.89	0.57
Ara+2, Ara+5, Ara-5	54.27	13.74	0.58
Ara+2, Ara+5, Ara-6	56.29	15.26	0.59
Ara+2, Ara-1, Ara-2	48.26	12.90	0.54
Ara+2, Ara-1, Ara-3	47.64	12.76	0.55
Ara+2, Ara-1, Ara-4	49.86	11.64	0.57
Ara+2, Ara-1, Ara-5	51.40	11.49	0.58
Ara+2, Ara-1, Ara-6	50.37	12.61	0.57
Ara+2, Ara-2, Ara-3	52.35	16.10	0.58
Ara+2, Ara-2, Ara-4	50.68	14.51	0.58
Ara+2, Ara-2, Ara-5	51.79	14.30	0.58
Ara+2, Ara-2, Ara-6	53.66	15.96	0.60
Ara+2, Ara-3, Ara-4	52.16	14.36	0.59
Ara+2, Ara-3, Ara-5	51.71	14.14	0.60
Ara+2, Ara-3, Ara-6	53.12	15.79	0.60
Ara+2, Ara-4, Ara-5	51.55	12.79	0.59
Ara+2, Ara-4, Ara-6	52.65	14.17	0.58
Ara+2, Ara-5, Ara-6	54.83	13.98	0.57
Ara+3, Ara+4, Ara+5	66.33	14.12	0.58
Ara+3, Ara+4, Ara-1	47.47	11.85	0.58
Ara+3, Ara+4, Ara-2	52.75	14.72	0.59
Ara+3, Ara+4, Ara-3	52.30	14.60	0.59
Ara+3, Ara+4, Ara-4	51.30	13.18	0.58
Ara+3, Ara+4, Ara-5	51.77	13.00	0.57
Ara+3, Ara+4, Ara-6	53.81	14.43	0.59
