Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1, Ara+2	84.18	62.56	0.57
Ara+1, Ara+3	82.89	62.10	0.57
Ara+1, Ara+4	84.02	61.03	0.58
Ara+1, Ara+5	82.69	61.03	0.61
Ara+1, Ara-1	71.07	61.47	0.58
Ara+1, Ara-2	70.20	61.87	0.59
Ara+1, Ara-3	70.34	62.19	0.61
Ara+1, Ara-4	70.17	60.07	0.58
Ara+1, Ara-5	70.63	60.29	0.62
Ara+1, Ara-6	70.81	61.05	0.59
Ara+2, Ara+3	81.25	61.51	0.58
Ara+2, Ara+4	83.04	60.42	0.60
Ara+2, Ara+5	82.11	60.39	0.60
Ara+2, Ara-1	69.44	60.85	0.59
Ara+2, Ara-2	71.91	61.26	0.58
Ara+2, Ara-3	71.60	61.56	0.57
Ara+2, Ara-4	70.71	59.45	0.61
Ara+2, Ara-5	71.40	59.71	0.61
Ara+2, Ara-6	73.72	60.47	0.60
Ara+3, Ara+4	80.49	60.08	0.62
Ara+3, Ara+5	79.63	60.05	0.59
Ara+3, Ara-1	69.08	60.49	0.59
Ara+3, Ara-2	73.55	60.84	0.59
Ara+3, Ara-3	72.19	61.18	0.60
Ara+3, Ara-4	71.43	59.10	0.62
Ara+3, Ara-5	69.75	59.38	0.60
Ara+3, Ara-6	71.83	60.06	0.61
Ara+4, Ara+5	81.31	59.04	0.64
Ara+4, Ara-1	69.53	59.45	0.62
Ara+4, Ara-2	70.16	59.81	0.62
Ara+4, Ara-3	71.17	60.09	0.58
Ara+4, Ara-4	70.17	58.08	0.64
Ara+4, Ara-5	71.39	58.37	0.66
Ara+4, Ara-6	72.64	59.07	0.63
Ara+5, Ara-1	67.93	59.44	0.62
Ara+5, Ara-2	70.25	59.76	0.60
Ara+5, Ara-3	70.28	60.13	0.59
Ara+5, Ara-4	69.08	58.08	0.65
Ara+5, Ara-5	69.92	58.36	0.61
Ara+5, Ara-6	71.35	59.08	0.61
Ara-1, Ara-2	78.69	60.22	0.62
Ara-1, Ara-3	78.00	60.55	0.61
Ara-1, Ara-4	81.05	58.48	0.62
Ara-1, Ara-5	82.95	58.73	0.64
Ara-1, Ara-6	79.28	59.42	0.59
Ara-2, Ara-3	79.61	60.95	0.60
Ara-2, Ara-4	78.76	58.87	0.62
Ara-2, Ara-5	78.00	59.11	0.63
Ara-2, Ara-6	79.01	59.82	0.61
Ara-3, Ara-4	81.12	59.16	0.61
Ara-3, Ara-5	78.87	59.40	0.63
Ara-3, Ara-6	78.39	60.14	0.59
Ara-4, Ara-5	79.35	57.47	0.64
Ara-4, Ara-6	78.18	58.12	0.65
Ara-5, Ara-6	79.68	58.37	0.63
Ara+1, Ara+2, Ara+3	74.06	38.55	0.66
Ara+1, Ara+2, Ara+4	75.54	37.64	0.70
Ara+1, Ara+2, Ara+5	74.10	37.56	0.70
Ara+1, Ara+2, Ara-1	60.81	37.96	0.69
Ara+1, Ara+2, Ara-2	61.92	38.29	0.66
Ara+1, Ara+2, Ara-3	61.74	38.57	0.69
Ara+1, Ara+2, Ara-4	61.20	36.82	0.65
Ara+1, Ara+2, Ara-5	61.41	37.04	0.68
Ara+1, Ara+2, Ara-6	63.40	37.62	0.70
Ara+1, Ara+3, Ara+4	73.91	37.31	0.65
Ara+1, Ara+3, Ara+5	72.62	37.32	0.68
Ara+1, Ara+3, Ara-1	60.05	37.65	0.69
Ara+1, Ara+3, Ara-2	62.14	37.91	0.70
Ara+1, Ara+3, Ara-3	61.44	38.25	0.67
Ara+1, Ara+3, Ara-4	60.85	36.49	0.69
Ara+1, Ara+3, Ara-5	60.20	36.73	0.67
Ara+1, Ara+3, Ara-6	61.57	37.34	0.68
Ara+1, Ara+4, Ara+5	74.02	36.44	0.68
Ara+1, Ara+4, Ara-1	61.31	36.80	0.67
Ara+1, Ara+4, Ara-2	61.20	37.05	0.69
Ara+1, Ara+4, Ara-3	62.29	37.35	0.66
Ara+1, Ara+4, Ara-4	61.29	35.67	0.70
Ara+1, Ara+4, Ara-5	61.96	35.89	0.68
Ara+1, Ara+4, Ara-6	63.23	36.42	0.69
Ara+1, Ara+5, Ara-1	59.14	36.79	0.69
