Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D
Ara+1,Ara+2	28.44	4.98	0.39	60.20
Ara+1,Ara+3	23.08	4.78	0.39	46.71
Ara+1,Ara+4	27.57	4.79	0.41	56.21
Ara+1,Ara+5	24.11	4.95	0.40	48.05
Ara+1,Ara-1	12.25	4.49	0.38	20.59
Ara+1,Ara-2	11.48	4.78	0.41	16.46
Ara+1,Ara-3	9.92	4.78	0.40	12.88
Ara+1,Ara-4	10.89	4.59	0.39	15.97
Ara+1,Ara-5	12.39	4.71	0.40	19.31
Ara+1,Ara-6	10.88	4.83	0.41	14.85
Ara+2,Ara+3	33.06	5.52	0.43	64.26
Ara+2,Ara+4	37.70	5.46	0.43	74.36
Ara+2,Ara+5	35.86	5.69	0.46	65.95
Ara+2,Ara-1	10.70	4.88	0.42	13.72
Ara+2,Ara-2	12.83	5.53	0.44	16.50
Ara+2,Ara-3	11.69	5.52	0.41	14.90
Ara+2,Ara-4	12.35	5.21	0.43	16.65
Ara+2,Ara-5	13.29	5.25	0.41	19.64
Ara+2,Ara-6	14.65	5.57	0.43	21.17
Ara+3,Ara+4	35.28	5.27	0.41	72.67
Ara+3,Ara+5	34.87	5.53	0.43	68.75
Ara+3,Ara-1	11.03	4.70	0.38	16.78
Ara+3,Ara-2	13.24	5.34	0.41	19.45
Ara+3,Ara-3	12.61	5.37	0.40	18.16
Ara+3,Ara-4	12.35	5.04	0.40	18.13
Ara+3,Ara-5	11.96	5.10	0.41	16.55
Ara+3,Ara-6	12.92	5.40	0.43	17.57
Ara+4,Ara+5	37.69	5.45	0.42	76.08
Ara+4,Ara-1	11.30	4.69	0.40	16.60
Ara+4,Ara-2	11.53	5.28	0.40	15.46
Ara+4,Ara-3	11.62	5.28	0.44	14.57
Ara+4,Ara-4	11.91	5.03	0.40	17.04
Ara+4,Ara-5	14.71	5.08	0.42	23.18
Ara+4,Ara-6	13.53	5.34	0.44	18.69
Ara+5,Ara-1	11.69	4.85	0.40	16.94
Ara+5,Ara-2	11.65	5.52	0.43	14.20
Ara+5,Ara-3	11.59	5.50	0.44	13.87
Ara+5,Ara-4	11.52	5.19	0.42	14.96
