lines	n_lines	observed_count	D_value
Ara+1|Ara+2	2	342	18.589977984082307
Ara+1|Ara+3	2	355	20.10143030563642
Ara+1|Ara+4	2	242	14.7555695593877
Ara+1|Ara+5	2	314	16.52280736535263
Ara+1|Ara-1	2	344	19.888549700554503
Ara+1|Ara-2	2	358	14.687084047019727
Ara+1|Ara-3	2	274	10.704105865448792
Ara+1|Ara-4	2	270	18.1190946655923
Ara+1|Ara-5	2	367	25.13019378023546
Ara+1|Ara-6	2	161	11.091562557702796
Ara+2|Ara+3	2	489	31.315206001131564
Ara+2|Ara+4	2	263	16.48790034852709
Ara+2|Ara+5	2	382	22.042521730245134
Ara+2|Ara-1	2	313	15.458670799397346
Ara+2|Ara-2	2	396	16.069622173309014
Ara+2|Ara-3	2	346	16.174862036764004
Ara+2|Ara-4	2	347	26.40844905365448
Ara+2|Ara-5	2	304	16.167370279833747
Ara+2|Ara-6	2	191	13.846463667595904
Ara+3|Ara+4	2	229	12.669122000866926
Ara+3|Ara+5	2	300	13.057371944783595
Ara+3|Ara-1	2	333	17.04213369392076
Ara+3|Ara-2	2	362	12.944957345074236
Ara+3|Ara-3	2	312	13.586742556817828
Ara+3|Ara-4	2	305	20.40774164214156
Ara+3|Ara-5	2	304	16.08940634465487
Ara+3|Ara-6	2	165	10.405431494683835
Ara+4|Ara+5	2	284	18.891641170873704
Ara+4|Ara-1	2	246	15.49173525937299
Ara+4|Ara-2	2	292	14.23392103000011
Ara+4|Ara-3	2	263	15.861986380306131
Ara+4|Ara-4	2	224	18.591980044479406
Ara+4|Ara-5	2	231	15.179242289707016
Ara+4|Ara-6	2	202	22.08977060737319
Ara+5|Ara-1	2	253	10.292460253237977
Ara+5|Ara-2	2	362	14.983391400099707
Ara+5|Ara-3	2	349	18.133974403141025
Ara+5|Ara-4	2	247	15.40508968369923
Ara+5|Ara-5	2	326	20.028540492624614
Ara+5|Ara-6	2	199	15.533499845142169
Ara-1|Ara-2	2	384	16.84919738887186
Ara-1|Ara-3	2	285	12.068848127145062
Ara-1|Ara-4	2	286	20.308319791060885
Ara-1|Ara-5	2	269	14.326832101131714
Ara-1|Ara-6	2	208	17.252530570424735
Ara-2|Ara-3	2	396	15.75215775082946
Ara-2|Ara-4	2	356	21.26374518992837
Ara-2|Ara-5	2	337	15.129121886346542
Ara-2|Ara-6	2	237	15.538661772184708
Ara-3|Ara-4	2	236	12.960239849728303
Ara-3|Ara-5	2	264	12.060550653607809
Ara-3|Ara-6	2	191	13.44055768066838
Ara-4|Ara-5	2	229	15.14153079245428
Ara-4|Ara-6	2	182	18.56368452640029
Ara-5|Ara-6	2	159	11.796206450219506
Ara+1|Ara+2|Ara+3	3	237	37.85190832408693
Ara+1|Ara+2|Ara+4	3	144	26.60913942616981
Ara+1|Ara+2|Ara+5	3	196	32.564465827514745
Ara+1|Ara+2|Ara-1	3	198	31.93965244140793
Ara+1|Ara+2|Ara-2	3	211	29.406700691379797
Ara+1|Ara+2|Ara-3	3	173	25.09957961709379
Ara+1|Ara+2|Ara-4	3	199	38.84089952559037
Ara+1|Ara+2|Ara-5	3	201	34.22557103250852
Ara+1|Ara+2|Ara-6	3	104	22.9157770278396
Ara+1|Ara+3|Ara+4	3	136	24.335621156065784
Ara+1|Ara+3|Ara+5	3	160	25.38767107300249
Ara+1|Ara+3|Ara-1	3	203	32.54973517753136
Ara+1|Ara+3|Ara-2	3	187	25.323083428995048
Ara+1|Ara+3|Ara-3	3	162	23.4946182213272
Ara+1|Ara+3|Ara-4	3	172	33.1997046408477
Ara+1|Ara+3|Ara-5	3	199	34.33187656239856
Ara+1|Ara+3|Ara-6	3	97	21.332715536461038
Ara+1|Ara+4|Ara+5	3	154	29.614100625610902
Ara+1|Ara+4|Ara-1	3	145	28.0919182383398
Ara+1|Ara+4|Ara-2	3	149	23.211521527233643
Ara+1|Ara+4|Ara-3	3	118	19.732218694329735
Ara+1|Ara+4|Ara-4	3	134	29.846300576796462
Ara+1|Ara+4|Ara-5	3	148	29.898961257930665
Ara+1|Ara+4|Ara-6	3	91	24.64156252992264
Ara+1|Ara+5|Ara-1	3	150	24.245435326362447
Ara+1|Ara+5|Ara-2	3	188	24.893553109551167
Ara+1|Ara+5|Ara-3	3	166	24.04955578746086
Ara+1|Ara+5|Ara-4	3	158	31.1686461524428
Ara+1|Ara+5|Ara-5	3	206	38.71120393481616
Ara+1|Ara+5|Ara-6	3	91	20.58049773929854
Ara+1|Ara-1|Ara-2	3	214	30.62122282149256
Ara+1|Ara-1|Ara-3	3	139	21.08062577328617
