Strain Combination	n_lines	n_evolved	Observed ratio(%)	null_mean	null_sd	D_stat
Ara+1,Ara+2	2	181	22.37	37.83	5.74	24.94
Ara+1,Ara+3	2	197	24.31	40.27	5.92	26.46
Ara+1,Ara+4	2	91	13.25	27.71	4.96	12.77
Ara+1,Ara+5	2	152	19.18	37.18	5.74	19.99
Ara+1,Ara-1	2	202	25.86	40.21	6.13	26.39
Ara+1,Ara-2	2	150	16.30	48.58	6.39	15.86
Ara+1,Ara-3	2	98	11.93	39.10	5.85	10.06
Ara+1,Ara-4	2	133	19.49	26.64	4.86	21.90
Ara+1,Ara-5	2	209	27.98	35.94	5.71	30.30
Ara+1,Ara-6	2	73	12.09	20.61	4.44	11.80
Ara+2,Ara+3	2	328	39.45	42.31	6.22	45.91
Ara+2,Ara+4	2	126	17.80	32.03	5.38	17.47
Ara+2,Ara+5	2	228	28.03	40.29	5.89	31.86
Ara+2,Ara-1	2	187	23.32	41.93	5.90	24.57
Ara+2,Ara-2	2	202	21.47	53.06	6.86	21.72
Ara+2,Ara-3	2	163	19.35	42.60	5.98	20.14
Ara+2,Ara-4	2	226	32.13	28.24	5.12	38.61
Ara+2,Ara-5	2	161	20.96	38.95	5.85	20.85
Ara+2,Ara-6	2	103	16.48	23.49	4.72	16.85
Ara+3,Ara+4	2	97	13.67	31.01	5.30	12.46
Ara+3,Ara+5	2	137	16.81	41.49	5.88	16.23
Ara+3,Ara-1	2	186	23.15	43.49	6.18	23.05
Ara+3,Ara-2	2	163	17.29	54.45	7.24	15.00
Ara+3,Ara-3	2	144	17.06	44.31	6.28	15.88
Ara+3,Ara-4	2	187	26.52	29.52	5.53	28.46
Ara+3,Ara-5	2	189	24.56	39.66	6.01	24.85
Ara+3,Ara-6	2	65	10.38	22.42	4.40	9.67
Ara+4,Ara+5	2	147	21.26	29.85	5.01	23.36
Ara+4,Ara-1	2	116	17.06	30.66	5.22	16.34
Ara+4,Ara-2	2	125	15.26	39.81	5.78	14.75
Ara+4,Ara-3	2	78	10.83	32.00	5.53	8.32
Ara+4,Ara-4	2	124	21.32	20.76	4.34	23.77
Ara+4,Ara-5	2	127	19.66	28.79	5.09	19.30
Ara+4,Ara-6	2	128	25.45	17.72	4.12	26.77
Ara+5,Ara-1	2	135	17.19	40.34	5.99	15.81
Ara+5,Ara-2	2	126	13.63	51.78	6.88	10.79
Ara+5,Ara-3	2	159	19.25	41.88	6.02	19.47
Ara+5,Ara-4	2	120	17.47	27.47	5.13	18.03
Ara+5,Ara-5	2	189	25.15	36.94	5.76	26.41
Ara+5,Ara-6	2	104	17.09	21.80	4.39	18.71
Ara-1,Ara-2	2	230	25.19	53.01	6.54	27.06
Ara-1,Ara-3	2	127	15.59	41.62	6.38	13.38
Ara-1,Ara-4	2	178	26.35	29.59	5.19	28.58
Ara-1,Ara-5	2	150	20.27	40.34	5.95	18.43
Ara-1,Ara-6	2	133	22.28	24.15	4.75	22.90
Ara-2,Ara-3	2	196	20.56	56.40	6.97	20.04
Ara-2,Ara-4	2	207	25.41	37.24	6.06	28.00
Ara-2,Ara-5	2	148	16.84	49.30	6.50	15.19
Ara-2,Ara-6	2	109	14.81	28.65	5.04	15.95
Ara-3,Ara-4	2	117	16.34	29.65	5.13	17.02
Ara-3,Ara-5	2	112	14.35	39.23	5.90	12.34
Ara-3,Ara-6	2	71	11.14	22.13	4.43	11.03
Ara-4,Ara-5	2	138	21.51	26.87	4.88	22.76
Ara-4,Ara-6	2	118	23.67	15.14	3.96	25.98
Ara-5,Ara-6	2	94	16.70	21.58	4.47	16.20
Ara+1,Ara+2,Ara+3	3	92	11.26	2.05	1.43	62.96
Ara+1,Ara+2,Ara+4	3	24	3.27	1.60	1.27	17.65
Ara+1,Ara+2,Ara+5	3	59	7.33	2.01	1.43	39.74
Ara+1,Ara+2,Ara-1	3	53	6.65	2.24	1.47	34.45
Ara+1,Ara+2,Ara-2	3	51	5.73	2.61	1.65	29.25
Ara+1,Ara+2,Ara-3	3	48	5.82	2.18	1.46	31.29
Ara+1,Ara+2,Ara-4	3	64	8.75	1.44	1.25	50.21
Ara+1,Ara+2,Ara-5	3	59	7.62	2.07	1.49	38.23
Ara+1,Ara+2,Ara-6	3	24	3.53	1.26	1.15	19.79
Ara+1,Ara+3,Ara+4	3	23	3.13	1.43	1.19	18.08
Ara+1,Ara+3,Ara+5	3	37	4.59	2.05	1.40	24.95
Ara+1,Ara+3,Ara-1	3	81	10.15	2.24	1.50	52.34
Ara+1,Ara+3,Ara-2	3	50	5.61	2.75	1.69	27.96
Ara+1,Ara+3,Ara-3	3	36	4.36	2.19	1.45	23.30
Ara+1,Ara+3,Ara-4	3	59	8.05	1.44	1.25	46.23
Ara+1,Ara+3,Ara-5	3	78	10.06	2.02	1.35	56.36
Ara+1,Ara+3,Ara-6	3	22	3.23	1.15	1.11	18.81
Ara+1,Ara+4,Ara+5	3	26	3.59	1.49	1.24	19.84
Ara+1,Ara+4,Ara-1	3	35	4.89	1.64	1.28	26.09
Ara+1,Ara+4,Ara-2	3	28	3.46	1.90	1.35	19.29
Ara+1,Ara+4,Ara-3	3	18	2.42	1.56	1.26	13.05
Ara+1,Ara+4,Ara-4	3	30	4.61	1.02	1.02	28.41
Ara+1,Ara+4,Ara-5	3	27	3.89	1.43	1.24	20.61
Ara+1,Ara+4,Ara-6	3	22	3.68	0.89	0.95	22.22
Ara+1,Ara+5,Ara-1	3	35	4.45	2.12	1.42	23.13
Ara+1,Ara+5,Ara-2	3	31	3.53	2.47	1.58	18.07
Ara+1,Ara+5,Ara-3	3	34	4.18	2.00	1.40	22.91
Ara+1,Ara+5,Ara-4	3	40	5.55	1.35	1.15	33.47
Ara+1,Ara+5,Ara-5	3	58	7.59	1.90	1.37	40.99
Ara+1,Ara+5,Ara-6	3	20	2.99	1.12	1.04	18.13
Ara+1,Ara-1,Ara-2	3	69	7.92	2.77	1.71	38.79
Ara+1,Ara-1,Ara-3	3	38	4.72	2.17	1.52	23.64
Ara+1,Ara-1,Ara-4	3	61	8.56	1.58	1.28	46.41
Ara+1,Ara-1,Ara-5	3	64	8.47	2.25	1.42	43.49
Ara+1,Ara-1,Ara-6	3	40	6.05	1.24	1.12	34.71
Ara+1,Ara-2,Ara-3	3	33	3.67	2.70	1.64	18.49
Ara+1,Ara-2,Ara-4	3	61	7.57	1.76	1.33	44.49
Ara+1,Ara-2,Ara-5	3	56	6.60	2.54	1.66	32.11
Ara+1,Ara-2,Ara-6	3	26	3.45	1.44	1.22	20.06
Ara+1,Ara-3,Ara-4	3	31	4.19	1.38	1.18	25.09
Ara+1,Ara-3,Ara-5	3	34	4.34	1.88	1.33	24.21
Ara+1,Ara-3,Ara-6	3	19	2.76	1.13	1.08	16.62
Ara+1,Ara-4,Ara-5	3	55	7.97	1.43	1.24	43.23
Ara+1,Ara-4,Ara-6	3	31	5.21	0.80	0.90	33.72
Ara+1,Ara-5,Ara-6	3	32	5.02	1.18	1.13	27.23
Ara+2,Ara+3,Ara+4	3	41	5.47	1.76	1.33	29.41
Ara+2,Ara+3,Ara+5	3	79	9.63	2.23	1.51	50.96
Ara+2,Ara+3,Ara-1	3	82	10.09	2.44	1.58	50.41
Ara+2,Ara+3,Ara-2	3	80	8.84	2.95	1.75	43.99
Ara+2,Ara+3,Ara-3	3	65	7.74	2.36	1.53	40.97
Ara+2,Ara+3,Ara-4	3	102	13.66	1.61	1.28	78.62
Ara+2,Ara+3,Ara-5	3	64	8.10	2.22	1.52	40.66
Ara+2,Ara+3,Ara-6	3	29	4.18	1.39	1.21	22.82
Ara+2,Ara+4,Ara+5	3	47	6.37	1.79	1.34	33.81
Ara+2,Ara+4,Ara-1	3	37	5.07	1.84	1.35	26.00
Ara+2,Ara+4,Ara-2	3	56	6.81	2.33	1.51	35.46
Ara+2,Ara+4,Ara-3	3	41	5.42	1.84	1.31	29.95
Ara+2,Ara+4,Ara-4	3	63	9.48	1.22	1.07	57.49
Ara+2,Ara+4,Ara-5	3	35	4.95	1.67	1.29	25.77
Ara+2,Ara+4,Ara-6	3	39	6.37	1.04	1.03	36.76
Ara+2,Ara+5,Ara-1	3	60	7.50	2.22	1.51	38.36
Ara+2,Ara+5,Ara-2	3	54	6.05	2.92	1.68	30.40
Ara+2,Ara+5,Ara-3	3	60	7.25	2.35	1.49	38.60
Ara+2,Ara+5,Ara-4	3	62	8.44	1.57	1.26	48.12
Ara+2,Ara+5,Ara-5	3	61	7.84	2.17	1.46	40.26
Ara+2,Ara+5,Ara-6	3	35	5.13	1.28	1.08	31.12
Ara+2,Ara-1,Ara-2	3	80	9.04	3.01	1.74	44.17
Ara+2,Ara-1,Ara-3	3	44	5.37	2.36	1.54	27.12
Ara+2,Ara-1,Ara-4	3	86	11.83	1.74	1.30	64.75
Ara+2,Ara-1,Ara-5	3	50	6.49	2.38	1.51	31.47
Ara+2,Ara-1,Ara-6	3	44	6.52	1.41	1.21	35.15
Ara+2,Ara-2,Ara-3	3	44	4.82	3.03	1.72	23.83
Ara+2,Ara-2,Ara-4	3	93	11.35	1.95	1.37	66.29
Ara+2,Ara-2,Ara-5	3	57	6.61	2.80	1.63	33.17
Ara+2,Ara-2,Ara-6	3	38	4.95	1.67	1.26	28.76
Ara+2,Ara-3,Ara-4	3	50	6.63	1.57	1.24	39.07
Ara+2,Ara-3,Ara-5	3	45	5.65	2.20	1.43	29.93
Ara+2,Ara-3,Ara-6	3	26	3.71	1.28	1.14	21.64
Ara+2,Ara-4,Ara-5	3	63	8.94	1.53	1.23	50.15
Ara+2,Ara-4,Ara-6	3	52	8.54	0.85	0.93	54.85
Ara+2,Ara-5,Ara-6	3	38	5.83	1.29	1.12	32.90
Ara+3,Ara+4,Ara+5	3	27	3.66	1.71	1.31	19.31
Ara+3,Ara+4,Ara-1	3	30	4.10	1.74	1.27	22.31
Ara+3,Ara+4,Ara-2	3	23	2.79	2.16	1.45	14.38
Ara+3,Ara+4,Ara-3	3	22	2.90	1.81	1.32	15.25
Ara+3,Ara+4,Ara-4	3	43	6.46	1.12	1.05	39.69
Ara+3,Ara+4,Ara-5	3	31	4.38	1.59	1.29	22.86
Ara+3,Ara+4,Ara-6	3	22	3.59	0.97	1.01	20.83
Ara+3,Ara+5,Ara-1	3	34	4.24	2.25	1.39	22.76
Ara+3,Ara+5,Ara-2	3	33	3.69	2.97	1.68	17.93
Ara+3,Ara+5,Ara-3	3	38	4.59	2.36	1.58	22.60
Ara+3,Ara+5,Ara-4	3	35	4.76	1.53	1.22	27.34
Ara+3,Ara+5,Ara-5	3	44	5.65	2.15	1.45	28.86
Ara+3,Ara+5,Ara-6	3	18	2.63	1.20	1.06	15.83
Ara+3,Ara-1,Ara-2	3	68	7.67	2.97	1.71	38.09
Ara+3,Ara-1,Ara-3	3	33	4.02	2.35	1.47	20.82
Ara+3,Ara-1,Ara-4	3	64	8.79	1.75	1.34	46.33
Ara+3,Ara-1,Ara-5	3	52	6.74	2.44	1.51	32.84
Ara+3,Ara-1,Ara-6	3	29	4.29	1.33	1.20	23.08
Ara+3,Ara-2,Ara-3	3	36	3.94	3.09	1.79	18.39
Ara+3,Ara-2,Ara-4	3	66	8.04	1.93	1.39	46.07
Ara+3,Ara-2,Ara-5	3	49	5.67	2.77	1.59	28.99
Ara+3,Ara-2,Ara-6	3	24	3.12	1.59	1.26	17.83
Ara+3,Ara-3,Ara-4	3	36	4.77	1.64	1.23	27.94
Ara+3,Ara-3,Ara-5	3	39	4.89	2.23	1.45	25.28
Ara+3,Ara-3,Ara-6	3	19	2.70	1.31	1.17	15.10
Ara+3,Ara-4,Ara-5	3	55	7.80	1.47	1.18	45.33
Ara+3,Ara-4,Ara-6	3	26	4.26	0.90	0.95	26.36
Ara+3,Ara-5,Ara-6	3	23	3.52	1.20	1.09	19.97
Ara+4,Ara+5,Ara-1	3	34	4.73	1.63	1.31	24.67
Ara+4,Ara+5,Ara-2	3	37	4.56	2.15	1.47	23.79
Ara+4,Ara+5,Ara-3	3	28	3.75	1.71	1.34	19.63
Ara+4,Ara+5,Ara-4	3	37	5.66	1.11	1.02	35.22
Ara+4,Ara+5,Ara-5	3	47	6.75	1.53	1.21	37.55
Ara+4,Ara+5,Ara-6	3	48	7.99	0.93	0.95	49.30
Ara+4,Ara-1,Ara-2	3	34	4.23	2.18	1.43	22.30
Ara+4,Ara-1,Ara-3	3	18	2.44	1.65	1.28	12.80
Ara+4,Ara-1,Ara-4	3	42	6.50	1.16	1.11	36.75
Ara+4,Ara-1,Ara-5	3	23	3.34	1.66	1.28	16.65
