Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1, Ara+2	38.57	9.72	0.98
Ara+1, Ara+3	40.47	9.80	1.00
Ara+1, Ara+4	30.57	8.11	0.97
Ara+1, Ara+5	36.59	9.51	0.98
Ara+1, Ara-1	41.49	9.54	0.98
Ara+1, Ara-2	27.61	10.81	0.94
Ara+1, Ara-3	23.13	9.85	0.95
Ara+1, Ara-4	35.31	8.04	1.02
Ara+1, Ara-5	47.12	9.05	1.01
Ara+1, Ara-6	23.84	6.71	0.98
Ara+2, Ara+3	54.48	10.04	1.03
Ara+2, Ara+4	30.79	8.46	0.98
Ara+2, Ara+5	41.92	9.86	1.01
Ara+2, Ara-1	35.79	9.55	1.00
Ara+2, Ara-2	31.77	11.31	0.99
Ara+2, Ara-3	31.10	10.36	1.00
Ara+2, Ara-4	44.35	8.23	1.00
Ara+2, Ara-5	36.46	9.21	0.96
Ara+2, Ara-6	27.04	6.68	0.94
Ara+3, Ara+4	25.65	8.27	0.98
Ara+3, Ara+5	29.94	9.81	0.99
Ara+3, Ara-1	37.34	9.77	0.98
Ara+3, Ara-2	29.81	11.26	0.95
Ara+3, Ara-3	29.62	10.10	0.96
Ara+3, Ara-4	41.99	8.23	0.99
Ara+3, Ara-5	36.78	9.24	0.98
Ara+3, Ara-6	22.19	6.80	0.94
Ara+4, Ara+5	37.02	8.31	1.04
Ara+4, Ara-1	33.53	7.84	0.98
Ara+4, Ara-2	28.57	9.21	0.97
Ara+4, Ara-3	21.37	8.57	0.99
Ara+4, Ara-4	35.77	7.11	1.00
Ara+4, Ara-5	30.80	7.67	1.02
Ara+4, Ara-6	39.56	5.80	1.05
Ara+5, Ara-1	28.13	9.26	0.99
Ara+5, Ara-2	24.45	11.08	0.99
Ara+5, Ara-3	29.42	10.11	1.02
Ara+5, Ara-4	29.26	8.21	1.03
Ara+5, Ara-5	38.19	9.03	0.99
Ara+5, Ara-6	28.76	6.58	1.00
Ara-1, Ara-2	38.01	10.60	0.96
Ara-1, Ara-3	26.03	9.53	1.01
Ara-1, Ara-4	40.41	7.77	1.02
Ara-1, Ara-5	32.30	9.02	0.99
Ara-1, Ara-6	33.50	6.81	0.99
Ara-2, Ara-3	32.93	11.52	1.02
Ara-2, Ara-4	42.60	9.10	0.98
Ara-2, Ara-5	27.65	10.20	0.97
Ara-2, Ara-6	27.58	7.16	0.92
Ara-3, Ara-4	27.79	8.45	1.01
Ara-3, Ara-5	23.83	9.31	0.99
Ara-3, Ara-6	21.65	6.69	1.00
Ara-4, Ara-5	31.18	7.68	1.03
Ara-4, Ara-6	34.30	5.86	1.03
Ara-5, Ara-6	24.16	6.41	0.98
Ara+1, Ara+2, Ara+3	26.32	0.97	0.34
Ara+1, Ara+2, Ara+4	16.74	0.78	0.33
Ara+1, Ara+2, Ara+5	21.99	0.94	0.33
Ara+1, Ara+2, Ara-1	22.45	0.91	0.34
Ara+1, Ara+2, Ara-2	17.53	1.11	0.33
Ara+1, Ara+2, Ara-3	15.77	0.99	0.34
Ara+1, Ara+2, Ara-4	24.05	0.75	0.31
Ara+1, Ara+2, Ara-5	24.01	0.87	0.33
Ara+1, Ara+2, Ara-6	12.95	0.59	0.29
Ara+1, Ara+3, Ara+4	15.50	0.76	0.32
Ara+1, Ara+3, Ara+5	16.87	0.94	0.34
Ara+1, Ara+3, Ara-1	23.80	0.94	0.34
Ara+1, Ara+3, Ara-2	15.49	1.14	0.35
Ara+1, Ara+3, Ara-3	14.66	0.99	0.34
Ara+1, Ara+3, Ara-4	21.57	0.76	0.30
Ara+1, Ara+3, Ara-5	23.98	0.86	0.34
Ara+1, Ara+3, Ara-6	12.49	0.61	0.30
Ara+1, Ara+4, Ara+5	18.52	0.75	0.33
Ara+1, Ara+4, Ara-1	17.88	0.74	0.32
Ara+1, Ara+4, Ara-2	12.61	0.88	0.33
Ara+1, Ara+4, Ara-3	10.90	0.78	0.32
Ara+1, Ara+4, Ara-4	17.99	0.60	0.30
Ara+1, Ara+4, Ara-5	19.04	0.69	0.31
Ara+1, Ara+4, Ara-6	14.05	0.46	0.28
Ara+1, Ara+5, Ara-1	17.17	0.89	0.34
Ara+1, Ara+5, Ara-2	13.65	1.10	0.35
Ara+1, Ara+5, Ara-3	14.02	0.97	0.35
Ara+1, Ara+5, Ara-4	17.76	0.74	0.32
Ara+1, Ara+5, Ara-5	25.67	0.84	0.33
Ara+1, Ara+5, Ara-6	11.22	0.58	0.30
Ara+1, Ara-1, Ara-2	21.00	1.07	0.35
Ara+1, Ara-1, Ara-3	14.77	0.93	0.32
Ara+1, Ara-1, Ara-4	23.70	0.71	0.30
Ara+1, Ara-1, Ara-5	23.68	0.85	0.34
Ara+1, Ara-1, Ara-6	15.89	0.59	0.30
Ara+1, Ara-2, Ara-3	12.69	1.15	0.34
Ara+1, Ara-2, Ara-4	20.11	0.88	0.33
Ara+1, Ara-2, Ara-5	17.79	1.00	0.34
Ara+1, Ara-2, Ara-6	13.27	0.67	0.30
Ara+1, Ara-3, Ara-4	13.92	0.77	0.32
Ara+1, Ara-3, Ara-5	14.43	0.89	0.33
Ara+1, Ara-3, Ara-6	10.32	0.57	0.28
Ara+1, Ara-4, Ara-5	21.58	0.70	0.30
Ara+1, Ara-4, Ara-6	14.62	0.46	0.27
Ara+1, Ara-5, Ara-6	12.85	0.55	0.29
Ara+2, Ara+3, Ara+4	18.54	0.80	0.32
Ara+2, Ara+3, Ara+5	22.80	0.99	0.34
Ara+2, Ara+3, Ara-1	24.25	0.94	0.34
Ara+2, Ara+3, Ara-2	20.00	1.17	0.36
Ara+2, Ara+3, Ara-3	20.02	1.04	0.36
Ara+2, Ara+3, Ara-4	27.59	0.77	0.33
Ara+2, Ara+3, Ara-5	23.05	0.90	0.34
Ara+2, Ara+3, Ara-6	14.83	0.62	0.30
Ara+2, Ara+4, Ara+5	19.11	0.80	0.34
Ara+2, Ara+4, Ara-1	17.26	0.73	0.31
Ara+2, Ara+4, Ara-2	16.41	0.94	0.33
Ara+2, Ara+4, Ara-3	14.00	0.84	0.33
Ara+2, Ara+4, Ara-4	22.88	0.64	0.30
Ara+2, Ara+4, Ara-5	17.25	0.71	0.32
Ara+2, Ara+4, Ara-6	18.14	0.48	0.28
Ara+2, Ara+5, Ara-1	18.99	0.90	0.32
Ara+2, Ara+5, Ara-2	15.34	1.17	0.37
Ara+2, Ara+5, Ara-3	17.53	1.03	0.35
Ara+2, Ara+5, Ara-4	20.69	0.78	0.32
Ara+2, Ara+5, Ara-5	22.25	0.88	0.32
Ara+2, Ara+5, Ara-6	15.10	0.56	0.28
Ara+2, Ara-1, Ara-2	20.11	1.10	0.36
Ara+2, Ara-1, Ara-3	15.98	0.96	0.35
Ara+2, Ara-1, Ara-4	26.13	0.73	0.32
Ara+2, Ara-1, Ara-5	20.13	0.85	0.34
Ara+2, Ara-1, Ara-6	17.49	0.59	0.30
Ara+2, Ara-2, Ara-3	14.36	1.25	0.36
Ara+2, Ara-2, Ara-4	26.11	0.92	0.33
Ara+2, Ara-2, Ara-5	17.27	1.07	0.34
Ara+2, Ara-2, Ara-6	15.12	0.68	0.29
Ara+2, Ara-3, Ara-4	17.24	0.82	0.33
Ara+2, Ara-3, Ara-5	14.93	0.93	0.34
Ara+2, Ara-3, Ara-6	12.40	0.61	0.29
Ara+2, Ara-4, Ara-5	22.72	0.70	0.32
Ara+2, Ara-4, Ara-6	20.20	0.48	0.27
Ara+2, Ara-5, Ara-6	13.50	0.55	0.28
Ara+3, Ara+4, Ara+5	13.81	0.78	0.32
Ara+3, Ara+4, Ara-1	17.10	0.74	0.32
Ara+3, Ara+4, Ara-2	13.23	0.92	0.34
Ara+3, Ara+4, Ara-3	12.66	0.81	0.32
Ara+3, Ara+4, Ara-4	19.54	0.61	0.30
Ara+3, Ara+4, Ara-5	15.39	0.72	0.32
Ara+3, Ara+4, Ara-6	14.52	0.49	0.28
Ara+3, Ara+5, Ara-1	13.98	0.92	0.33
Ara+3, Ara+5, Ara-2	11.86	1.15	0.34
Ara+3, Ara+5, Ara-3	13.28	1.01	0.34
Ara+3, Ara+5, Ara-4	15.36	0.77	0.31
Ara+3, Ara+5, Ara-5	16.82	0.85	0.32
Ara+3, Ara+5, Ara-6	11.12	0.61	0.29
Ara+3, Ara-1, Ara-2	18.62	1.10	0.34
Ara+3, Ara-1, Ara-3	13.65	0.95	0.33
Ara+3, Ara-1, Ara-4	23.21	0.74	0.31
Ara+3, Ara-1, Ara-5	19.46	0.87	0.32
Ara+3, Ara-1, Ara-6	14.95	0.61	0.31
Ara+3, Ara-2, Ara-3	14.23	1.21	0.36
Ara+3, Ara-2, Ara-4	22.06	0.92	0.34
Ara+3, Ara-2, Ara-5	15.86	1.06	0.36
Ara+3, Ara-2, Ara-6	12.36	0.69	0.30
Ara+3, Ara-3, Ara-4	15.36	0.81	0.31
Ara+3, Ara-3, Ara-5	14.66	0.91	0.34
Ara+3, Ara-3, Ara-6	10.39	0.61	0.29
Ara+3, Ara-4, Ara-5	19.42	0.69	0.31
Ara+3, Ara-4, Ara-6	15.57	0.49	0.29
Ara+3, Ara-5, Ara-6	11.49	0.56	0.31
Ara+4, Ara+5, Ara-1	15.30	0.70	0.31
Ara+4, Ara+5, Ara-2	14.91	0.92	0.34
Ara+4, Ara+5, Ara-3	13.67	0.83	0.32
Ara+4, Ara+5, Ara-4	18.21	0.61	0.32
Ara+4, Ara+5, Ara-5	20.54	0.68	0.30
Ara+4, Ara+5, Ara-6	20.30	0.46	0.27
Ara+4, Ara-1, Ara-2	17.41	0.85	0.32
Ara+4, Ara-1, Ara-3	12.73	0.76	0.32
Ara+4, Ara-1, Ara-4	21.84	0.59	0.30
Ara+4, Ara-1, Ara-5	14.52	0.67	0.32
Ara+4, Ara-1, Ara-6	19.89	0.45	0.27
Ara+4, Ara-2, Ara-3	13.12	0.97	0.33
Ara+4, Ara-2, Ara-4	20.45	0.73	0.32
Ara+4, Ara-2, Ara-5	12.93	0.81	0.32
Ara+4, Ara-2, Ara-6	17.49	0.56	0.28
Ara+4, Ara-3, Ara-4	15.46	0.66	0.31
Ara+4, Ara-3, Ara-5	11.60	0.74	0.34
Ara+4, Ara-3, Ara-6	12.90	0.49	0.27
Ara+4, Ara-4, Ara-5	17.34	0.57	0.30
Ara+4, Ara-4, Ara-6	22.93	0.39	0.28
Ara+4, Ara-5, Ara-6	15.42	0.44	0.27
Ara+5, Ara-1, Ara-2	15.44	1.04	0.34
Ara+5, Ara-1, Ara-3	14.10	0.93	0.32
Ara+5, Ara-1, Ara-4	18.30	0.72	0.31
Ara+5, Ara-1, Ara-5	16.73	0.82	0.33
Ara+5, Ara-1, Ara-6	14.77	0.57	0.29
Ara+5, Ara-2, Ara-3	12.76	1.21	0.37
Ara+5, Ara-2, Ara-4	18.43	0.90	0.33
Ara+5, Ara-2, Ara-5	14.68	1.04	0.34
Ara+5, Ara-2, Ara-6	13.35	0.68	0.30
Ara+5, Ara-3, Ara-4	14.27	0.81	0.33
Ara+5, Ara-3, Ara-5	16.03	0.91	0.34
Ara+5, Ara-3, Ara-6	12.60	0.59	0.30
Ara+5, Ara-4, Ara-5	17.60	0.68	0.30
Ara+5, Ara-4, Ara-6	15.72	0.46	0.27
