Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1, Ara+2	42.27	19.54	1.21
Ara+1, Ara+3	43.80	19.60	1.24
Ara+1, Ara+4	35.23	16.28	1.30
Ara+1, Ara+5	39.62	19.13	1.25
Ara+1, Ara-1	44.05	18.91	1.26
Ara+1, Ara-2	38.91	21.79	1.18
Ara+1, Ara-3	33.35	19.88	1.27
Ara+1, Ara-4	39.56	16.06	1.30
Ara+1, Ara-5	49.13	17.99	1.26
Ara+1, Ara-6	26.66	13.16	1.29
Ara+2, Ara+3	58.81	20.16	1.21
Ara+2, Ara+4	37.15	16.65	1.25
Ara+2, Ara+5	46.96	19.69	1.23
Ara+2, Ara-1	39.03	19.35	1.24
Ara+2, Ara-2	42.08	22.51	1.16
Ara+2, Ara-3	41.07	20.46	1.21
Ara+2, Ara-4	49.32	16.52	1.26
Ara+2, Ara-5	39.58	18.48	1.28
Ara+2, Ara-6	30.56	13.56	1.29
Ara+3, Ara+4	32.28	16.59	1.27
Ara+3, Ara+5	36.81	19.75	1.19
Ara+3, Ara-1	41.44	19.47	1.27
Ara+3, Ara-2	38.41	22.52	1.18
Ara+3, Ara-3	36.97	20.39	1.23
Ara+3, Ara-4	43.26	16.45	1.24
Ara+3, Ara-5	39.51	18.53	1.29
Ara+3, Ara-6	26.34	13.49	1.21
Ara+4, Ara+5	41.07	16.37	1.30
Ara+4, Ara-1	36.18	16.11	1.27
Ara+4, Ara-2	35.65	18.17	1.23
Ara+4, Ara-3	36.50	16.85	1.27
Ara+4, Ara-4	38.52	14.10	1.35
Ara+4, Ara-5	35.76	15.55	1.34
Ara+4, Ara-6	40.16	11.83	1.30
Ara+5, Ara-1	32.21	19.06	1.24
Ara+5, Ara-2	39.16	22.00	1.17
Ara+5, Ara-3	42.25	19.97	1.29
Ara+5, Ara-4	35.95	16.24	1.31
Ara+5, Ara-5	43.38	18.15	1.32
Ara+5, Ara-6	32.70	13.30	1.26
Ara-1, Ara-2	42.06	21.61	1.21
Ara-1, Ara-3	34.99	19.63	1.21
Ara-1, Ara-4	42.34	16.02	1.30
Ara-1, Ara-5	36.35	17.83	1.28
Ara-1, Ara-6	34.84	13.14	1.29
Ara-2, Ara-3	41.53	22.79	1.13
Ara-2, Ara-4	43.71	18.08	1.20
Ara-2, Ara-5	38.34	20.47	1.19
Ara-2, Ara-6	32.20	14.53	1.13
Ara-3, Ara-4	32.96	16.70	1.28
Ara-3, Ara-5	33.82	18.66	1.26
Ara-3, Ara-6	29.96	13.63	1.23
Ara-4, Ara-5	35.70	15.36	1.25
Ara-4, Ara-6	36.51	11.77	1.32
Ara-5, Ara-6	28.24	12.80	1.31
Ara+1, Ara+2, Ara+3	29.01	3.91	0.67
Ara+1, Ara+2, Ara+4	19.60	3.10	0.63
Ara+1, Ara+2, Ara+5	24.35	3.77	0.65
Ara+1, Ara+2, Ara-1	24.83	3.74	0.66
Ara+1, Ara+2, Ara-2	23.71	4.54	0.65
Ara+1, Ara+2, Ara-3	20.99	4.00	0.66
Ara+1, Ara+2, Ara-4	27.20	3.01	0.62
Ara+1, Ara+2, Ara-5	25.95	3.49	0.65
Ara+1, Ara+2, Ara-6	15.31	2.39	0.57
Ara+1, Ara+3, Ara+4	18.49	3.06	0.61
Ara+1, Ara+3, Ara+5	19.85	3.80	0.65
Ara+1, Ara+3, Ara-1	25.43	3.73	0.65
Ara+1, Ara+3, Ara-2	20.99	4.50	0.64
Ara+1, Ara+3, Ara-3	19.63	3.97	0.68
Ara+1, Ara+3, Ara-4	23.48	3.01	0.61
Ara+1, Ara+3, Ara-5	25.66	3.50	0.62
Ara+1, Ara+3, Ara-6	14.26	2.36	0.56
Ara+1, Ara+4, Ara+5	21.28	2.97	0.62
Ara+1, Ara+4, Ara-1	20.25	2.94	0.62
Ara+1, Ara+4, Ara-2	18.43	3.52	0.63
Ara+1, Ara+4, Ara-3	15.88	3.11	0.62
Ara+1, Ara+4, Ara-4	20.60	2.35	0.58
Ara+1, Ara+4, Ara-5	21.35	2.79	0.62
Ara+1, Ara+4, Ara-6	15.22	1.91	0.57
Ara+1, Ara+5, Ara-1	19.08	3.62	0.65
Ara+1, Ara+5, Ara-2	21.39	4.40	0.65
Ara+1, Ara+5, Ara-3	20.41	3.87	0.64
Ara+1, Ara+5, Ara-4	21.92	2.94	0.63
Ara+1, Ara+5, Ara-5	26.98	3.40	0.66
Ara+1, Ara+5, Ara-6	13.62	2.31	0.57
Ara+1, Ara-1, Ara-2	24.56	4.29	0.64
Ara+1, Ara-1, Ara-3	17.25	3.80	0.64
Ara+1, Ara-1, Ara-4	24.68	2.90	0.62
Ara+1, Ara-1, Ara-5	25.93	3.32	0.64
Ara+1, Ara-1, Ara-6	16.95	2.25	0.56
Ara+1, Ara-2, Ara-3	20.48	4.61	0.63
Ara+1, Ara-2, Ara-4	23.58	3.48	0.63
Ara+1, Ara-2, Ara-5	23.92	4.03	0.64
Ara+1, Ara-2, Ara-6	15.66	2.71	0.57
Ara+1, Ara-3, Ara-4	17.57	3.09	0.63
Ara+1, Ara-3, Ara-5	20.56	3.59	0.67
Ara+1, Ara-3, Ara-6	11.92	2.42	0.58
Ara+1, Ara-4, Ara-5	24.48	2.69	0.61
Ara+1, Ara-4, Ara-6	16.64	1.89	0.53
Ara+1, Ara-5, Ara-6	14.89	2.11	0.56
Ara+2, Ara+3, Ara+4	23.08	3.16	0.61
Ara+2, Ara+3, Ara+5	28.17	3.98	0.64
Ara+2, Ara+3, Ara-1	26.96	3.86	0.67
Ara+2, Ara+3, Ara-2	27.40	4.70	0.65
Ara+2, Ara+3, Ara-3	26.45	4.13	0.66
Ara+2, Ara+3, Ara-4	30.94	3.14	0.62
Ara+2, Ara+3, Ara-5	25.20	3.63	0.64
Ara+2, Ara+3, Ara-6	17.14	2.44	0.57
Ara+2, Ara+4, Ara+5	23.32	3.07	0.62
Ara+2, Ara+4, Ara-1	19.18	3.02	0.60
Ara+2, Ara+4, Ara-2	21.39	3.62	0.63
Ara+2, Ara+4, Ara-3	20.21	3.25	0.62
Ara+2, Ara+4, Ara-4	25.74	2.46	0.59
Ara+2, Ara+4, Ara-5	20.22	2.83	0.61
Ara+2, Ara+4, Ara-6	19.77	1.96	0.54
Ara+2, Ara+5, Ara-1	21.62	3.73	0.66
Ara+2, Ara+5, Ara-2	23.40	4.57	0.69
Ara+2, Ara+5, Ara-3	24.90	4.04	0.67
Ara+2, Ara+5, Ara-4	24.91	3.03	0.63
Ara+2, Ara+5, Ara-5	25.08	3.53	0.64
Ara+2, Ara+5, Ara-6	18.03	2.38	0.57
Ara+2, Ara-1, Ara-2	22.93	4.43	0.67
Ara+2, Ara-1, Ara-3	19.40	3.96	0.69
Ara+2, Ara-1, Ara-4	27.79	3.00	0.61
Ara+2, Ara-1, Ara-5	22.73	3.44	0.63
Ara+2, Ara-1, Ara-6	18.82	2.32	0.56
Ara+2, Ara-2, Ara-3	23.13	4.78	0.67
Ara+2, Ara-2, Ara-4	28.91	3.62	0.64
Ara+2, Ara-2, Ara-5	22.49	4.20	0.65
Ara+2, Ara-2, Ara-6	17.59	2.78	0.60
Ara+2, Ara-3, Ara-4	21.75	3.18	0.61
Ara+2, Ara-3, Ara-5	19.95	3.69	0.67
Ara+2, Ara-3, Ara-6	16.53	2.48	0.56
Ara+2, Ara-4, Ara-5	25.27	2.80	0.60
Ara+2, Ara-4, Ara-6	21.84	1.93	0.52
Ara+2, Ara-5, Ara-6	16.41	2.23	0.55
Ara+3, Ara+4, Ara+5	18.82	3.11	0.63
Ara+3, Ara+4, Ara-1	18.88	3.02	0.62
Ara+3, Ara+4, Ara-2	17.73	3.65	0.63
Ara+3, Ara+4, Ara-3	17.15	3.23	0.62
Ara+3, Ara+4, Ara-4	21.34	2.47	0.60
Ara+3, Ara+4, Ara-5	18.35	2.82	0.60
Ara+3, Ara+4, Ara-6	16.64	1.96	0.54
Ara+3, Ara+5, Ara-1	17.22	3.73	0.64
Ara+3, Ara+5, Ara-2	19.80	4.55	0.65
Ara+3, Ara+5, Ara-3	20.04	4.04	0.66
Ara+3, Ara+5, Ara-4	19.03	3.06	0.63
