Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1,Ara+2	22.37	3.85	0.59
Ara+1,Ara+3	24.31	3.86	0.58
Ara+1,Ara+4	13.25	3.24	0.57
Ara+1,Ara+5	19.18	3.97	0.64
Ara+1,Ara-1	25.86	4.35	0.65
Ara+1,Ara-2	16.30	4.34	0.57
Ara+1,Ara-3	11.93	3.53	0.53
Ara+1,Ara-4	19.49	2.91	0.52
Ara+1,Ara-5	27.98	3.99	0.61
Ara+1,Ara-6	12.09	2.71	0.58
Ara+2,Ara+3	39.45	4.13	0.61
Ara+2,Ara+4	17.80	3.75	0.65
Ara+2,Ara+5	28.03	4.33	0.64
Ara+2,Ara-1	23.32	4.60	0.67
Ara+2,Ara-2	21.47	4.74	0.60
Ara+2,Ara-3	19.35	3.91	0.55
Ara+2,Ara-4	32.13	3.04	0.56
Ara+2,Ara-5	20.96	4.35	0.66
Ara+2,Ara-6	16.48	3.05	0.58
Ara+3,Ara+4	13.67	3.43	0.58
Ara+3,Ara+5	16.81	4.19	0.60
Ara+3,Ara-1	23.15	4.45	0.62
Ara+3,Ara-2	17.29	4.62	0.57
Ara+3,Ara-3	17.06	3.82	0.54
Ara+3,Ara-4	26.52	3.00	0.52
Ara+3,Ara-5	24.56	4.11	0.62
Ara+3,Ara-6	10.38	2.73	0.56
Ara+4,Ara+5	21.26	3.70	0.66
Ara+4,Ara-1	17.06	3.87	0.64
Ara+4,Ara-2	15.26	3.99	0.59
Ara+4,Ara-3	10.83	3.27	0.55
Ara+4,Ara-4	21.32	2.58	0.55
Ara+4,Ara-5	19.66	3.78	0.69
Ara+4,Ara-6	25.45	2.78	0.63
Ara+5,Ara-1	17.19	4.60	0.67
Ara+5,Ara-2	13.63	4.76	0.62
Ara+5,Ara-3	19.25	3.98	0.57
Ara+5,Ara-4	17.47	3.12	0.57
Ara+5,Ara-5	25.15	4.37	0.67
Ara+5,Ara-6	17.09	3.00	0.62
Ara-1,Ara-2	25.19	5.02	0.65
Ara-1,Ara-3	15.59	4.03	0.58
Ara-1,Ara-4	26.35	3.44	0.60
Ara-1,Ara-5	20.27	4.87	0.71
Ara-1,Ara-6	22.28	3.48	0.66
Ara-2,Ara-3	20.56	4.53	0.58
Ara-2,Ara-4	25.41	3.44	0.54
Ara-2,Ara-5	16.84	4.78	0.64
Ara-2,Ara-6	14.81	3.16	0.54
Ara-3,Ara-4	16.34	2.84	0.48
Ara-3,Ara-5	14.35	3.82	0.59
Ara-3,Ara-6	11.14	2.54	0.52
Ara-4,Ara-5	21.51	3.19	0.57
Ara-4,Ara-6	23.67	2.15	0.54
Ara-5,Ara-6	16.70	3.17	0.67
Ara+1,Ara+2,Ara+3	11.26	0.21	0.14
Ara+1,Ara+2,Ara+4	3.27	0.17	0.14
Ara+1,Ara+2,Ara+5	7.33	0.22	0.14
Ara+1,Ara+2,Ara-1	6.65	0.25	0.16
Ara+1,Ara+2,Ara-2	5.73	0.25	0.15
Ara+1,Ara+2,Ara-3	5.82	0.20	0.13
Ara+1,Ara+2,Ara-4	8.75	0.15	0.13
Ara+1,Ara+2,Ara-5	7.62	0.22	0.15
Ara+1,Ara+2,Ara-6	3.53	0.14	0.13
Ara+1,Ara+3,Ara+4	3.13	0.17	0.12
Ara+1,Ara+3,Ara+5	4.59	0.21	0.14
Ara+1,Ara+3,Ara-1	10.15	0.24	0.15
Ara+1,Ara+3,Ara-2	5.61	0.24	0.14
Ara+1,Ara+3,Ara-3	4.36	0.20	0.14
Ara+1,Ara+3,Ara-4	8.05	0.15	0.12
Ara+1,Ara+3,Ara-5	10.06	0.21	0.14
Ara+1,Ara+3,Ara-6	3.23	0.12	0.12
Ara+1,Ara+4,Ara+5	3.59	0.16	0.14
Ara+1,Ara+4,Ara-1	4.89	0.18	0.15
Ara+1,Ara+4,Ara-2	3.46	0.20	0.14
Ara+1,Ara+4,Ara-3	2.42	0.16	0.13
Ara+1,Ara+4,Ara-4	4.61	0.13	0.13
Ara+1,Ara+4,Ara-5	3.89	0.18	0.14
Ara+1,Ara+4,Ara-6	3.68	0.12	0.12
Ara+1,Ara+5,Ara-1	4.45	0.23	0.15
Ara+1,Ara+5,Ara-2	3.53	0.23	0.14
Ara+1,Ara+5,Ara-3	4.18	0.20	0.13
Ara+1,Ara+5,Ara-4	5.55	0.15	0.13
Ara+1,Ara+5,Ara-5	7.59	0.21	0.15
Ara+1,Ara+5,Ara-6	2.99	0.13	0.13
Ara+1,Ara-1,Ara-2	7.92	0.27	0.16
Ara+1,Ara-1,Ara-3	4.72	0.21	0.14
Ara+1,Ara-1,Ara-4	8.56	0.17	0.13
Ara+1,Ara-1,Ara-5	8.47	0.25	0.16
Ara+1,Ara-1,Ara-6	6.05	0.16	0.14
Ara+1,Ara-2,Ara-3	3.67	0.22	0.14
Ara+1,Ara-2,Ara-4	7.57	0.17	0.13
Ara+1,Ara-2,Ara-5	6.60	0.24	0.15
Ara+1,Ara-2,Ara-6	3.45	0.16	0.13
Ara+1,Ara-3,Ara-4	4.19	0.14	0.12
Ara+1,Ara-3,Ara-5	4.34	0.20	0.14
Ara+1,Ara-3,Ara-6	2.76	0.12	0.11
Ara+1,Ara-4,Ara-5	7.97	0.16	0.13
Ara+1,Ara-4,Ara-6	5.21	0.10	0.11
Ara+1,Ara-5,Ara-6	5.02	0.15	0.14
Ara+2,Ara+3,Ara+4	5.47	0.19	0.14
Ara+2,Ara+3,Ara+5	9.63	0.23	0.15
Ara+2,Ara+3,Ara-1	10.09	0.25	0.16
Ara+2,Ara+3,Ara-2	8.84	0.28	0.16
Ara+2,Ara+3,Ara-3	7.74	0.22	0.14
Ara+2,Ara+3,Ara-4	13.66	0.16	0.13
Ara+2,Ara+3,Ara-5	8.10	0.24	0.15
Ara+2,Ara+3,Ara-6	4.18	0.15	0.13
