Strain Combination	Observed Count	Observed Ratio (%)	Simulated Mean Count	Simulated Std Dev	Simulated Mean (%)	Simulated Std Dev (%)	P_Value	D
Gly1,Lac2	2	11.765	0.000	0.000	0.000	0.000	0.000	
Gly1,Lac3	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly1,LacA	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly1,LacB	1	5.714	0.000	0.000	0.000	0.000	0.000	
Gly1,LacC	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly1,LacD	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly1,LacE	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly2,Lac2	1	2.597	0.000	0.000	0.000	0.000	0.000	
Gly2,Lac3	1	2.740	0.000	0.000	0.000	0.000	0.000	
Gly2,LacA	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly2,LacB	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly2,LacC	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly2,LacD	0	0.000	0.000	0.000	0.000	0.000	1.000	
Gly2,LacE	0	0.000	0.000	0.000	0.000	0.000	1.000	
GlyA,Lac2	6	29.268	0.000	0.000	0.000	0.000	0.000	
GlyA,Lac3	4	21.622	0.000	0.000	0.000	0.000	0.000	
GlyA,LacA	6	30.769	0.000	0.000	0.000	0.000	0.000	
GlyA,LacB	7	33.333	1.000	0.000	4.762	0.000	0.000	
GlyA,LacC	9	38.298	0.000	0.000	0.000	0.000	0.000	
GlyA,LacD	6	32.432	1.000	0.000	5.405	0.000	0.000	
GlyA,LacE	1	5.263	0.000	0.000	0.000	0.000	0.000	
GlyB,Lac2	7	33.333	0.000	0.000	0.000	0.000	0.000	
GlyB,Lac3	4	21.053	0.000	0.000	0.000	0.000	0.000	
GlyB,LacA	7	35.000	0.000	0.000	0.000	0.000	0.000	
GlyB,LacB	8	37.209	1.000	0.000	4.651	0.000	0.000	
GlyB,LacC	9	37.500	0.000	0.000	0.000	0.000	0.000	
GlyB,LacD	7	36.842	1.000	0.000	5.263	0.000	0.000	
GlyB,LacE	1	5.128	0.000	0.000	0.000	0.000	0.000	
GlyC,Lac2	2	11.765	0.000	0.000	0.000	0.000	0.000	
GlyC,Lac3	1	6.667	0.000	0.000	0.000	0.000	0.000	
GlyC,LacA	1	6.250	0.000	0.000	0.000	0.000	0.000	
GlyC,LacB	0	0.000	0.000	0.000	0.000	0.000	1.000	
GlyC,LacC	0	0.000	0.000	0.000	0.000	0.000	1.000	
GlyC,LacD	0	0.000	0.000	0.000	0.000	0.000	1.000	
GlyC,LacE	2	12.903	0.000	0.000	0.000	0.000	0.000	
GlyD,Lac2	6	31.579	0.000	0.000	0.000	0.000	0.000	
GlyD,Lac3	2	11.765	0.000	0.000	0.000	0.000	0.000	
GlyD,LacA	5	27.778	0.000	0.000	0.000	0.000	0.000	
GlyD,LacB	6	30.769	1.000	0.000	5.128	0.000	0.000	
GlyD,LacC	6	27.273	0.000	0.000	0.000	0.000	0.000	
GlyD,LacD	6	35.294	1.000	0.000	5.882	0.000	0.000	
GlyD,LacE	1	5.714	0.000	0.000	0.000	0.000	0.000	
GlyE,Lac2	5	34.483	0.000	0.000	0.000	0.000	0.000	
GlyE,Lac3	2	16.000	0.000	0.000	0.000	0.000	0.000	
GlyE,LacA	6	44.444	0.000	0.000	0.000	0.000	0.000	
GlyE,LacB	5	33.333	1.000	0.000	6.667	0.000	0.000	
GlyE,LacC	6	34.286	0.000	0.000	0.000	0.000	0.000	
GlyE,LacD	5	40.000	1.000	0.000	8.000	0.000	0.000	
GlyE,LacE	1	7.692	0.000	0.000	0.000	0.000	0.000	
