Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE1 at 42C, ALE2 at 42C	36.40	7.21	1.06
ALE1 at 42C, ALE3 at 42C	32.30	7.12	1.09
ALE1 at 42C, ALE4 at 42C	42.82	8.37	1.08
ALE1 at 42C, ALE5 at 42C	30.83	6.73	1.09
ALE1 at 42C, ALE6 at 42C	61.51	10.66	1.09
ALE1 at 42C, ALE7 at 42C	60.37	10.42	1.05
ALE1 at 42C, ALE8 at 42C	50.60	8.61	1.15
ALE1 at 42C, ALE9 at 42C	33.75	7.56	1.13
ALE1 at 42C, ALE10 at 42C	55.34	8.67	1.05
ALE2 at 42C, ALE3 at 42C	56.71	6.81	1.23
ALE2 at 42C, ALE4 at 42C	52.90	7.41	1.22
ALE2 at 42C, ALE5 at 42C	61.16	6.29	1.23
ALE2 at 42C, ALE6 at 42C	30.14	8.98	1.09
ALE2 at 42C, ALE7 at 42C	32.15	8.25	1.08
ALE2 at 42C, ALE8 at 42C	37.51	7.58	1.19
ALE2 at 42C, ALE9 at 42C	58.76	7.18	1.28
ALE2 at 42C, ALE10 at 42C	44.54	7.36	1.14
ALE3 at 42C, ALE4 at 42C	47.84	7.46	1.23
ALE3 at 42C, ALE5 at 42C	65.80	6.39	1.21
ALE3 at 42C, ALE6 at 42C	31.31	8.96	1.17
ALE3 at 42C, ALE7 at 42C	32.99	8.04	1.05
ALE3 at 42C, ALE8 at 42C	35.32	7.70	1.20
ALE3 at 42C, ALE9 at 42C	60.59	7.18	1.27
ALE3 at 42C, ALE10 at 42C	42.66	7.35	1.21
ALE4 at 42C, ALE5 at 42C	50.72	6.92	1.18
ALE4 at 42C, ALE6 at 42C	42.88	10.31	1.13
ALE4 at 42C, ALE7 at 42C	41.09	9.51	1.07
ALE4 at 42C, ALE8 at 42C	55.12	8.58	1.21
ALE4 at 42C, ALE9 at 42C	46.47	7.87	1.16
ALE4 at 42C, ALE10 at 42C	60.51	8.36	1.15
ALE5 at 42C, ALE6 at 42C	27.65	8.26	1.09
ALE5 at 42C, ALE7 at 42C	35.01	7.64	1.05
ALE5 at 42C, ALE8 at 42C	33.84	7.11	1.21
ALE5 at 42C, ALE9 at 42C	63.88	6.66	1.25
ALE5 at 42C, ALE10 at 42C	45.80	6.90	1.16
ALE6 at 42C, ALE7 at 42C	56.09	12.54	1.10
ALE6 at 42C, ALE8 at 42C	54.20	10.68	1.16
ALE6 at 42C, ALE9 at 42C	30.07	9.62	1.13
ALE6 at 42C, ALE10 at 42C	51.53	10.41	1.12
ALE7 at 42C, ALE8 at 42C	42.50	9.88	1.07
ALE7 at 42C, ALE9 at 42C	33.55	8.62	1.07
ALE7 at 42C, ALE10 at 42C	52.98	9.85	1.07
ALE8 at 42C, ALE9 at 42C	31.08	8.16	1.24
ALE8 at 42C, ALE10 at 42C	63.59	8.59	1.16
ALE9 at 42C, ALE10 at 42C	40.77	7.75	1.13
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C	27.98	0.55	0.33
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C	28.51	0.64	0.36
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C	29.37	0.52	0.33
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C	20.16	0.90	0.38
ALE1 at 42C, ALE2 at 42C, ALE7 at 42C	22.49	0.82	0.35
ALE1 at 42C, ALE2 at 42C, ALE8 at 42C	23.41	0.68	0.36
ALE1 at 42C, ALE2 at 42C, ALE9 at 42C	28.76	0.63	0.35
ALE1 at 42C, ALE2 at 42C, ALE10 at 42C	27.53	0.65	0.35
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C	25.66	0.65	0.36
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C	26.91	0.51	0.34
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C	19.65	0.89	0.37
ALE1 at 42C, ALE3 at 42C, ALE7 at 42C	22.03	0.80	0.35
ALE1 at 42C, ALE3 at 42C, ALE8 at 42C	21.09	0.69	0.36
ALE1 at 42C, ALE3 at 42C, ALE9 at 42C	27.45	0.63	0.37
ALE1 at 42C, ALE3 at 42C, ALE10 at 42C	25.34	0.67	0.34
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C	26.33	0.61	0.33
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C	28.69	1.08	0.38
ALE1 at 42C, ALE4 at 42C, ALE7 at 42C	29.34	0.97	0.36
ALE1 at 42C, ALE4 at 42C, ALE8 at 42C	32.20	0.83	0.39
ALE1 at 42C, ALE4 at 42C, ALE9 at 42C	25.67	0.71	0.37
ALE1 at 42C, ALE4 at 42C, ALE10 at 42C	36.62	0.79	0.37
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C	17.83	0.83	0.37
ALE1 at 42C, ALE5 at 42C, ALE7 at 42C	22.41	0.75	0.34
ALE1 at 42C, ALE5 at 42C, ALE8 at 42C	19.95	0.63	0.34
ALE1 at 42C, ALE5 at 42C, ALE9 at 42C	27.96	0.55	0.33
ALE1 at 42C, ALE5 at 42C, ALE10 at 42C	26.19	0.62	0.34
ALE1 at 42C, ALE6 at 42C, ALE7 at 42C	45.76	1.38	0.42
ALE1 at 42C, ALE6 at 42C, ALE8 at 42C	38.47	1.11	0.40
ALE1 at 42C, ALE6 at 42C, ALE9 at 42C	19.15	0.97	0.40
ALE1 at 42C, ALE6 at 42C, ALE10 at 42C	39.86	1.07	0.39
ALE1 at 42C, ALE7 at 42C, ALE8 at 42C	33.57	1.00	0.39
ALE1 at 42C, ALE7 at 42C, ALE9 at 42C	22.62	0.88	0.37
ALE1 at 42C, ALE7 at 42C, ALE10 at 42C	40.71	1.01	0.38
ALE1 at 42C, ALE8 at 42C, ALE9 at 42C	20.27	0.74	0.37
ALE1 at 42C, ALE8 at 42C, ALE10 at 42C	40.91	0.83	0.39
ALE1 at 42C, ALE9 at 42C, ALE10 at 42C	25.93	0.72	0.38
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C	39.36	0.58	0.39
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C	47.96	0.45	0.35
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C	23.03	0.77	0.37
ALE2 at 42C, ALE3 at 42C, ALE7 at 42C	26.72	0.68	0.36
ALE2 at 42C, ALE3 at 42C, ALE8 at 42C	26.23	0.60	0.38
ALE2 at 42C, ALE3 at 42C, ALE9 at 42C	46.36	0.55	0.39
ALE2 at 42C, ALE3 at 42C, ALE10 at 42C	34.12	0.59	0.35
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C	41.47	0.54	0.37
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C	24.29	0.88	0.39
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C	26.23	0.77	0.36
ALE2 at 42C, ALE4 at 42C, ALE8 at 42C	29.19	0.70	0.38
ALE2 at 42C, ALE4 at 42C, ALE9 at 42C	38.63	0.65	0.39
ALE2 at 42C, ALE4 at 42C, ALE10 at 42C	36.27	0.65	0.37
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C	22.69	0.67	0.36
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C	29.92	0.64	0.35
