Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE1 at 42C, ALE2 at 42C	39.69	12.61	1.31
ALE1 at 42C, ALE3 at 42C	36.49	11.89	1.31
ALE1 at 42C, ALE4 at 42C	46.34	14.49	1.39
ALE1 at 42C, ALE5 at 42C	36.44	11.85	1.37
ALE1 at 42C, ALE6 at 42C	61.65	18.48	1.31
ALE1 at 42C, ALE7 at 42C	60.64	18.94	1.33
ALE1 at 42C, ALE8 at 42C	52.68	14.91	1.38
ALE1 at 42C, ALE9 at 42C	40.04	12.97	1.35
ALE1 at 42C, ALE10 at 42C	56.35	15.44	1.36
ALE2 at 42C, ALE3 at 42C	56.99	9.57	1.48
ALE2 at 42C, ALE4 at 42C	53.13	11.11	1.42
ALE2 at 42C, ALE5 at 42C	61.98	9.42	1.45
ALE2 at 42C, ALE6 at 42C	32.40	13.27	1.28
ALE2 at 42C, ALE7 at 42C	36.87	13.62	1.26
ALE2 at 42C, ALE8 at 42C	39.10	11.37	1.40
ALE2 at 42C, ALE9 at 42C	59.79	10.22	1.47
ALE2 at 42C, ALE10 at 42C	45.41	11.66	1.39
ALE3 at 42C, ALE4 at 42C	49.04	10.58	1.42
ALE3 at 42C, ALE5 at 42C	66.09	9.11	1.46
ALE3 at 42C, ALE6 at 42C	33.99	12.63	1.23
ALE3 at 42C, ALE7 at 42C	37.82	12.78	1.26
ALE3 at 42C, ALE8 at 42C	37.19	10.84	1.44
ALE3 at 42C, ALE9 at 42C	60.59	9.76	1.46
ALE3 at 42C, ALE10 at 42C	45.15	11.12	1.40
ALE4 at 42C, ALE5 at 42C	52.17	10.51	1.38
ALE4 at 42C, ALE6 at 42C	44.48	15.52	1.35
ALE4 at 42C, ALE7 at 42C	44.96	15.90	1.27
ALE4 at 42C, ALE8 at 42C	55.32	12.93	1.41
ALE4 at 42C, ALE9 at 42C	47.84	11.36	1.37
ALE4 at 42C, ALE10 at 42C	60.71	13.29	1.41
