Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE1 at 42C,ALE2 at 42C	9.87	2.22	0.62
ALE1 at 42C,ALE3 at 42C	8.97	2.06	0.63
ALE1 at 42C,ALE4 at 42C	13.22	2.56	0.65
ALE1 at 42C,ALE5 at 42C	7.41	2.05	0.60
ALE1 at 42C,ALE6 at 42C	26.74	3.19	0.67
ALE1 at 42C,ALE7 at 42C	21.63	2.89	0.63
ALE1 at 42C,ALE8 at 42C	20.73	2.76	0.65
ALE1 at 42C,ALE9 at 42C	12.77	2.48	0.67
ALE1 at 42C,ALE10 at 42C	19.34	2.79	0.63
ALE2 at 42C,ALE3 at 42C	21.92	2.03	0.71
ALE2 at 42C,ALE4 at 42C	15.78	2.23	0.69
ALE2 at 42C,ALE5 at 42C	25.62	1.92	0.69
ALE2 at 42C,ALE6 at 42C	10.28	2.62	0.66
ALE2 at 42C,ALE7 at 42C	8.92	2.27	0.60
ALE2 at 42C,ALE8 at 42C	12.66	2.42	0.70
ALE2 at 42C,ALE9 at 42C	24.48	2.35	0.76
ALE2 at 42C,ALE10 at 42C	17.25	2.37	0.68
ALE3 at 42C,ALE4 at 42C	13.70	2.10	0.73
ALE3 at 42C,ALE5 at 42C	25.00	1.86	0.70
ALE3 at 42C,ALE6 at 42C	6.44	2.54	0.65
ALE3 at 42C,ALE7 at 42C	9.50	2.12	0.59
ALE3 at 42C,ALE8 at 42C	8.42	2.27	0.71
ALE3 at 42C,ALE9 at 42C	23.06	2.25	0.73
ALE3 at 42C,ALE10 at 42C	15.58	2.26	0.69
ALE4 at 42C,ALE5 at 42C	20.05	2.07	0.69
ALE4 at 42C,ALE6 at 42C	11.68	3.02	0.64
ALE4 at 42C,ALE7 at 42C	12.56	2.57	0.58
ALE4 at 42C,ALE8 at 42C	18.64	2.66	0.71
ALE4 at 42C,ALE9 at 42C	15.03	2.51	0.73
ALE4 at 42C,ALE10 at 42C	28.29	2.65	0.69
ALE5 at 42C,ALE6 at 42C	7.72	2.47	0.65
ALE5 at 42C,ALE7 at 42C	11.09	2.10	0.56
ALE5 at 42C,ALE8 at 42C	10.58	2.17	0.69
ALE5 at 42C,ALE9 at 42C	22.64	2.15	0.73
ALE5 at 42C,ALE10 at 42C	20.63	2.20	0.69
ALE6 at 42C,ALE7 at 42C	18.65	3.43	0.62
ALE6 at 42C,ALE8 at 42C	19.48	3.26	0.69
ALE6 at 42C,ALE9 at 42C	10.82	2.96	0.71
ALE6 at 42C,ALE10 at 42C	17.18	3.35	0.69
ALE7 at 42C,ALE8 at 42C	14.17	2.81	0.63
ALE7 at 42C,ALE9 at 42C	8.64	2.49	0.61
ALE7 at 42C,ALE10 at 42C	19.35	2.91	0.63
ALE8 at 42C,ALE9 at 42C	9.32	2.65	0.74
ALE8 at 42C,ALE10 at 42C	32.66	2.84	0.69
