Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
H_23_06, H_23_07	37.91	0.40	0.69
H_23_06, H_23_08	35.11	0.31	0.68
H_23_06, H_23_09	14.34	0.28	0.44
H_23_06, H_23_10	18.02	0.28	0.52
H_23_07, H_23_08	42.19	0.31	0.66
H_23_07, H_23_09	13.04	0.29	0.46
H_23_07, H_23_10	18.26	0.26	0.50
H_23_08, H_23_09	15.75	0.31	0.51
H_23_08, H_23_10	21.32	0.26	0.50
H_23_09, H_23_10	41.16	1.40	0.91
H_23_06, H_23_07, H_23_08	26.21	0.00	0.07
H_23_06, H_23_07, H_23_09	11.02	0.00	0.03
H_23_06, H_23_07, H_23_10	14.14	0.00	0.00
H_23_06, H_23_08, H_23_09	14.46	0.00	0.03
H_23_06, H_23_08, H_23_10	18.55	0.00	0.05
H_23_06, H_23_09, H_23_10	12.06	0.00	0.04
H_23_07, H_23_08, H_23_09	14.59	0.00	0.03
H_23_07, H_23_08, H_23_10	18.75	0.00	0.00
H_23_07, H_23_09, H_23_10	11.43	0.00	0.03
H_23_08, H_23_09, H_23_10	14.32	0.00	0.05
H_23_06, H_23_07, H_23_08, H_23_09	12.78	0.00	0.00
H_23_06, H_23_07, H_23_08, H_23_10	16.00	0.00	0.00
H_23_06, H_23_07, H_23_09, H_23_10	9.64	0.00	0.00
H_23_06, H_23_08, H_23_09, H_23_10	12.61	0.00	0.00
H_23_07, H_23_08, H_23_09, H_23_10	12.68	0.00	0.00
H_23_06, H_23_07, H_23_08, H_23_09, H_23_10	10.89	0.00	0.00
