Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
H_23_06, H_23_07	39.22	0.64	0.91
H_23_06, H_23_08	35.11	0.56	0.91
H_23_06, H_23_09	20.79	0.92	0.82
H_23_06, H_23_10	22.52	0.85	0.87
H_23_07, H_23_08	42.19	0.50	0.89
H_23_07, H_23_09	16.67	0.92	0.82
H_23_07, H_23_10	20.09	0.82	0.84
H_23_08, H_23_09	16.54	0.75	0.79
H_23_08, H_23_10	23.35	0.67	0.82
H_23_09, H_23_10	41.16	1.38	0.84
H_23_06, H_23_07, H_23_08	26.21	0.00	0.05
H_23_06, H_23_07, H_23_09	12.71	0.01	0.08
H_23_06, H_23_07, H_23_10	16.16	0.01	0.08
H_23_06, H_23_08, H_23_09	15.36	0.01	0.08
H_23_06, H_23_08, H_23_10	18.55	0.00	0.00
H_23_06, H_23_09, H_23_10	13.48	0.01	0.08
H_23_07, H_23_08, H_23_09	15.50	0.00	0.06
H_23_07, H_23_08, H_23_10	18.75	0.00	0.07
H_23_07, H_23_09, H_23_10	12.14	0.01	0.09
H_23_08, H_23_09, H_23_10	14.32	0.01	0.07
H_23_06, H_23_07, H_23_08, H_23_09	13.76	0.00	0.00
H_23_06, H_23_07, H_23_08, H_23_10	16.00	0.00	0.00
H_23_06, H_23_07, H_23_09, H_23_10	9.64	0.00	0.00
H_23_06, H_23_08, H_23_09, H_23_10	12.61	0.00	0.00
H_23_07, H_23_08, H_23_09, H_23_10	12.68	0.00	0.00
H_23_06, H_23_07, H_23_08, H_23_09, H_23_10	10.89	0.00	0.00
