Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
H_23_06, H_23_07	19.18	0.15	0.43
H_23_06, H_23_08	14.52	0.13	0.46
H_23_06, H_23_09	2.41	0.05	0.19
H_23_06, H_23_10	5.15	0.05	0.23
H_23_07, H_23_08	8.20	0.11	0.42
H_23_07, H_23_09	3.24	0.09	0.26
H_23_07, H_23_10	2.08	0.07	0.27
H_23_08, H_23_09	1.78	0.06	0.22
H_23_08, H_23_10	5.88	0.08	0.29
H_23_09, H_23_10	20.34	0.40	0.52
H_23_06, H_23_07, H_23_08	1.53	0.00	0.05
H_23_06, H_23_07, H_23_09	0.93	0.00	0.00
H_23_06, H_23_07, H_23_10	1.13	0.00	0.00
H_23_06, H_23_08, H_23_09	1.00	0.00	0.00
H_23_06, H_23_08, H_23_10	1.23	0.00	0.00
H_23_06, H_23_09, H_23_10	1.63	0.00	0.03
H_23_07, H_23_08, H_23_09	0.00	0.00	0.00
H_23_07, H_23_08, H_23_10	0.00	0.00	0.00
H_23_07, H_23_09, H_23_10	0.82	0.00	0.04
H_23_08, H_23_09, H_23_10	0.87	0.00	0.00
H_23_06, H_23_07, H_23_08, H_23_09	0.00	0.00	0.00
H_23_06, H_23_07, H_23_08, H_23_10	0.00	0.00	0.00
H_23_06, H_23_07, H_23_09, H_23_10	0.91	0.00	0.00
H_23_06, H_23_08, H_23_09, H_23_10	0.00	0.00	0.00
H_23_07, H_23_08, H_23_09, H_23_10	0.00	0.00	0.00
H_23_06, H_23_07, H_23_08, H_23_09, H_23_10	0.00	0.00	0.00
