Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_8, R_S_9	16.67	1.89	0.50
R_S_8, R_S_10	15.52	2.06	0.47
R_S_8, R_S_11	30.32	1.50	0.52
R_S_8, R_S_12	23.10	1.67	0.53
R_S_8, R_S_13	21.33	1.97	0.50
R_S_8, R_S_14	15.48	1.49	0.47
R_S_8, R_S_15	14.54	2.24	0.47
R_S_9, R_S_10	36.63	3.54	0.56
R_S_9, R_S_11	20.57	2.27	0.52
R_S_9, R_S_12	11.41	2.66	0.55
R_S_9, R_S_13	10.65	3.27	0.57
R_S_9, R_S_14	29.02	2.22	0.50
R_S_9, R_S_15	29.03	3.85	0.55
R_S_10, R_S_11	22.26	2.52	0.49
R_S_10, R_S_12	10.60	2.97	0.52
R_S_10, R_S_13	12.58	3.73	0.57
R_S_10, R_S_14	33.00	2.57	0.50
R_S_10, R_S_15	34.65	4.56	0.57
R_S_11, R_S_12	21.71	2.00	0.51
R_S_11, R_S_13	17.18	2.33	0.50
R_S_11, R_S_14	12.88	1.76	0.48
R_S_11, R_S_15	15.42	2.71	0.49
R_S_12, R_S_13	32.11	2.80	0.55
R_S_12, R_S_14	14.26	1.98	0.49
R_S_12, R_S_15	18.29	3.25	0.54
R_S_13, R_S_14	15.08	2.35	0.49
R_S_13, R_S_15	19.11	4.08	0.55
R_S_14, R_S_15	31.36	2.74	0.47
R_S_8, R_S_9, R_S_10	7.55	0.07	0.09
R_S_8, R_S_9, R_S_11	9.73	0.04	0.08
R_S_8, R_S_9, R_S_12	4.58	0.05	0.08
R_S_8, R_S_9, R_S_13	4.76	0.06	0.09
R_S_8, R_S_9, R_S_14	6.54	0.04	0.07
R_S_8, R_S_9, R_S_15	5.85	0.07	0.09
R_S_8, R_S_10, R_S_11	9.47	0.05	0.08
R_S_8, R_S_10, R_S_12	4.97	0.05	0.07
R_S_8, R_S_10, R_S_13	5.96	0.07	0.09
R_S_8, R_S_10, R_S_14	8.03	0.04	0.08
R_S_8, R_S_10, R_S_15	6.30	0.09	0.09
R_S_8, R_S_11, R_S_12	12.80	0.03	0.07
R_S_8, R_S_11, R_S_13	11.11	0.04	0.08
R_S_8, R_S_11, R_S_14	7.58	0.03	0.07
R_S_8, R_S_11, R_S_15	7.19	0.05	0.08
R_S_8, R_S_12, R_S_13	12.51	0.05	0.08
R_S_8, R_S_12, R_S_14	6.04	0.03	0.07
R_S_8, R_S_12, R_S_15	7.15	0.06	0.09
R_S_8, R_S_13, R_S_14	7.66	0.04	0.07
R_S_8, R_S_13, R_S_15	6.88	0.08	0.09
R_S_8, R_S_14, R_S_15	7.95	0.05	0.08
R_S_9, R_S_10, R_S_11	11.03	0.08	0.09
R_S_9, R_S_10, R_S_12	4.63	0.10	0.10
R_S_9, R_S_10, R_S_13	5.23	0.14	0.11
R_S_9, R_S_10, R_S_14	17.78	0.09	0.10
R_S_9, R_S_10, R_S_15	18.33	0.17	0.11
R_S_9, R_S_11, R_S_12	6.53	0.06	0.09
R_S_9, R_S_11, R_S_13	5.82	0.07	0.09
R_S_9, R_S_11, R_S_14	7.30	0.05	0.08
R_S_9, R_S_11, R_S_15	7.63	0.09	0.10
R_S_9, R_S_12, R_S_13	5.05	0.09	0.10
R_S_9, R_S_12, R_S_14	4.96	0.06	0.09
R_S_9, R_S_12, R_S_15	5.22	0.11	0.10
R_S_9, R_S_13, R_S_14	5.41	0.07	0.09
R_S_9, R_S_13, R_S_15	5.76	0.15	0.11
R_S_9, R_S_14, R_S_15	15.46	0.09	0.09
R_S_10, R_S_11, R_S_12	6.74	0.07	0.09
R_S_10, R_S_11, R_S_13	6.40	0.09	0.10
R_S_10, R_S_11, R_S_14	7.18	0.06	0.08
R_S_10, R_S_11, R_S_15	8.58	0.11	0.10
R_S_10, R_S_12, R_S_13	5.71	0.10	0.11
R_S_10, R_S_12, R_S_14	5.88	0.07	0.09
R_S_10, R_S_12, R_S_15	6.23	0.14	0.11
R_S_10, R_S_13, R_S_14	6.22	0.09	0.09
R_S_10, R_S_13, R_S_15	6.90	0.19	0.12
R_S_10, R_S_14, R_S_15	17.51	0.11	0.10
R_S_11, R_S_12, R_S_13	9.95	0.06	0.09
R_S_11, R_S_12, R_S_14	5.95	0.04	0.07
R_S_11, R_S_12, R_S_15	7.23	0.07	0.09
R_S_11, R_S_13, R_S_14	6.36	0.05	0.08
R_S_11, R_S_13, R_S_15	6.37	0.10	0.10
R_S_11, R_S_14, R_S_15	6.70	0.06	0.08
R_S_12, R_S_13, R_S_14	7.89	0.07	0.09
R_S_12, R_S_13, R_S_15	9.73	0.12	0.10
R_S_12, R_S_14, R_S_15	8.12	0.08	0.09
R_S_13, R_S_14, R_S_15	8.56	0.10	0.10
R_S_8, R_S_9, R_S_10, R_S_11	5.35	0.00	0.01
R_S_8, R_S_9, R_S_10, R_S_12	2.20	0.00	0.01
R_S_8, R_S_9, R_S_10, R_S_13	2.92	0.00	0.02
R_S_8, R_S_9, R_S_10, R_S_14	4.57	0.00	0.01
R_S_8, R_S_9, R_S_10, R_S_15	3.74	0.00	0.02
R_S_8, R_S_9, R_S_11, R_S_12	3.97	0.00	0.01
R_S_8, R_S_9, R_S_11, R_S_13	4.32	0.00	0.01
R_S_8, R_S_9, R_S_11, R_S_14	4.47	0.00	0.01
R_S_8, R_S_9, R_S_11, R_S_15	3.73	0.00	0.01
R_S_8, R_S_9, R_S_12, R_S_13	2.79	0.00	0.01
R_S_8, R_S_9, R_S_12, R_S_14	2.70	0.00	0.01
R_S_8, R_S_9, R_S_12, R_S_15	2.50	0.00	0.01
R_S_8, R_S_9, R_S_13, R_S_14	3.63	0.00	0.01
R_S_8, R_S_9, R_S_13, R_S_15	2.87	0.00	0.02
R_S_8, R_S_9, R_S_14, R_S_15	4.49	0.00	0.01
R_S_8, R_S_10, R_S_11, R_S_12	3.88	0.00	0.01
R_S_8, R_S_10, R_S_11, R_S_13	4.66	0.00	0.02
R_S_8, R_S_10, R_S_11, R_S_14	4.94	0.00	0.01
R_S_8, R_S_10, R_S_11, R_S_15	4.21	0.00	0.01
R_S_8, R_S_10, R_S_12, R_S_13	3.63	0.00	0.02
R_S_8, R_S_10, R_S_12, R_S_14	3.72	0.00	0.01
R_S_8, R_S_10, R_S_12, R_S_15	3.18	0.00	0.02
R_S_8, R_S_10, R_S_13, R_S_14	4.82	0.00	0.01
R_S_8, R_S_10, R_S_13, R_S_15	3.87	0.00	0.02
R_S_8, R_S_10, R_S_14, R_S_15	5.28	0.00	0.01
R_S_8, R_S_11, R_S_12, R_S_13	7.75	0.00	0.01
R_S_8, R_S_11, R_S_12, R_S_14	4.00	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_15	4.29	0.00	0.01
R_S_8, R_S_11, R_S_13, R_S_14	5.32	0.00	0.01
R_S_8, R_S_11, R_S_13, R_S_15	4.69	0.00	0.01
R_S_8, R_S_11, R_S_14, R_S_15	4.72	0.00	0.01
R_S_8, R_S_12, R_S_13, R_S_14	4.62	0.00	0.01
R_S_8, R_S_12, R_S_13, R_S_15	4.79	0.00	0.02
R_S_8, R_S_12, R_S_14, R_S_15	4.12	0.00	0.01
R_S_8, R_S_13, R_S_14, R_S_15	5.17	0.00	0.01
R_S_9, R_S_10, R_S_11, R_S_12	4.06	0.00	0.01
R_S_9, R_S_10, R_S_11, R_S_13	3.92	0.00	0.02
R_S_9, R_S_10, R_S_11, R_S_14	5.21	0.00	0.01
R_S_9, R_S_10, R_S_11, R_S_15	5.75	0.00	0.02
R_S_9, R_S_10, R_S_12, R_S_13	2.72	0.00	0.02
R_S_9, R_S_10, R_S_12, R_S_14	3.07	0.00	0.02
R_S_9, R_S_10, R_S_12, R_S_15	3.04	0.00	0.02
R_S_9, R_S_10, R_S_13, R_S_14	3.79	0.00	0.02
R_S_9, R_S_10, R_S_13, R_S_15	3.93	0.01	0.03
R_S_9, R_S_10, R_S_14, R_S_15	11.31	0.00	0.02
R_S_9, R_S_11, R_S_12, R_S_13	3.72	0.00	0.01
R_S_9, R_S_11, R_S_12, R_S_14	3.44	0.00	0.01
R_S_9, R_S_11, R_S_12, R_S_15	3.89	0.00	0.02
R_S_9, R_S_11, R_S_13, R_S_14	4.15	0.00	0.01
R_S_9, R_S_11, R_S_13, R_S_15	3.76	0.00	0.02
R_S_9, R_S_11, R_S_14, R_S_15	4.38	0.00	0.01
R_S_9, R_S_12, R_S_13, R_S_14	2.76	0.00	0.02
R_S_9, R_S_12, R_S_13, R_S_15	2.87	0.00	0.02
R_S_9, R_S_12, R_S_14, R_S_15	3.33	0.00	0.01
R_S_9, R_S_13, R_S_14, R_S_15	3.83	0.00	0.02
R_S_10, R_S_11, R_S_12, R_S_13	3.99	0.00	0.02
R_S_10, R_S_11, R_S_12, R_S_14	3.64	0.00	0.01
R_S_10, R_S_11, R_S_12, R_S_15	4.41	0.00	0.02
R_S_10, R_S_11, R_S_13, R_S_14	4.37	0.00	0.02
R_S_10, R_S_11, R_S_13, R_S_15	4.27	0.00	0.02
R_S_10, R_S_11, R_S_14, R_S_15	4.76	0.00	0.02
R_S_10, R_S_12, R_S_13, R_S_14	3.95	0.00	0.02
R_S_10, R_S_12, R_S_13, R_S_15	4.26	0.01	0.02
R_S_10, R_S_12, R_S_14, R_S_15	4.17	0.00	0.02
R_S_10, R_S_13, R_S_14, R_S_15	4.94	0.00	0.02
R_S_11, R_S_12, R_S_13, R_S_14	3.99	0.00	0.02
R_S_11, R_S_12, R_S_13, R_S_15	4.13	0.00	0.02
R_S_11, R_S_12, R_S_14, R_S_15	4.02	0.00	0.02
R_S_11, R_S_13, R_S_14, R_S_15	4.40	0.00	0.02
R_S_12, R_S_13, R_S_14, R_S_15	5.62	0.00	0.02
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12	2.18	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13	2.87	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_14	3.36	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_15	2.64	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13	1.80	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_14	2.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_15	1.56	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_14	2.89	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_15	2.37	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_14, R_S_15	3.50	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13	2.75	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_14	2.48	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_15	2.39	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_14	3.50	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_15	2.83	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_14, R_S_15	3.08	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_14	2.02	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_15	1.88	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_14, R_S_15	2.08	0.00	0.00
R_S_8, R_S_9, R_S_13, R_S_14, R_S_15	2.74	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13	2.86	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_14	2.88	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_15	2.52	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_14	3.90	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_15	3.34	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_14, R_S_15	3.59	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_14	3.12	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_15	2.66	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_14, R_S_15	2.77	0.00	0.00
R_S_8, R_S_10, R_S_13, R_S_14, R_S_15	3.75	0.00	0.01
R_S_8, R_S_11, R_S_12, R_S_13, R_S_14	3.12	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_15	3.17	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_14, R_S_15	2.71	0.00	0.00
R_S_8, R_S_11, R_S_13, R_S_14, R_S_15	3.73	0.00	0.00
R_S_8, R_S_12, R_S_13, R_S_14, R_S_15	3.53	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13	2.59	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_14	2.59	0.00	0.00
