Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_8, R_S_9	18.80	2.46	0.58
R_S_8, R_S_10	19.01	2.74	0.54
R_S_8, R_S_11	31.38	2.19	0.60
R_S_8, R_S_12	24.39	2.32	0.59
R_S_8, R_S_13	22.01	2.52	0.56
R_S_8, R_S_14	20.48	2.35	0.58
R_S_8, R_S_15	16.17	2.74	0.52
R_S_9, R_S_10	37.08	4.22	0.57
R_S_9, R_S_11	22.33	3.01	0.59
R_S_9, R_S_12	16.17	3.27	0.59
R_S_9, R_S_13	15.97	3.73	0.60
R_S_9, R_S_14	30.18	3.34	0.60
R_S_9, R_S_15	29.56	4.31	0.57
R_S_10, R_S_11	23.99	3.37	0.55
R_S_10, R_S_12	16.63	3.76	0.58
R_S_10, R_S_13	17.73	4.39	0.59
R_S_10, R_S_14	33.95	3.86	0.57
R_S_10, R_S_15	35.78	5.18	0.59
R_S_11, R_S_12	23.96	2.78	0.61
R_S_11, R_S_13	19.12	3.08	0.59
R_S_11, R_S_14	17.53	2.83	0.58
R_S_11, R_S_15	18.48	3.50	0.57
R_S_12, R_S_13	33.14	3.29	0.60
R_S_12, R_S_14	21.97	3.04	0.59
R_S_12, R_S_15	21.03	3.83	0.56
R_S_13, R_S_14	22.22	3.44	0.58
R_S_13, R_S_15	21.15	4.48	0.58
R_S_14, R_S_15	32.93	3.93	0.56
R_S_8, R_S_9, R_S_10	8.44	0.10	0.10
R_S_8, R_S_9, R_S_11	10.46	0.07	0.10
R_S_8, R_S_9, R_S_12	5.41	0.07	0.10
R_S_8, R_S_9, R_S_13	5.63	0.09	0.10
R_S_8, R_S_9, R_S_14	7.35	0.08	0.10
R_S_8, R_S_9, R_S_15	6.18	0.09	0.10
R_S_8, R_S_10, R_S_11	10.70	0.08	0.09
R_S_8, R_S_10, R_S_12	6.98	0.09	0.10
R_S_8, R_S_10, R_S_13	7.26	0.10	0.10
R_S_8, R_S_10, R_S_14	9.90	0.09	0.10
R_S_8, R_S_10, R_S_15	7.35	0.13	0.11
R_S_8, R_S_11, R_S_12	13.59	0.05	0.09
R_S_8, R_S_11, R_S_13	11.39	0.07	0.10
R_S_8, R_S_11, R_S_14	10.52	0.06	0.10
R_S_8, R_S_11, R_S_15	8.39	0.08	0.09
R_S_8, R_S_12, R_S_13	12.78	0.07	0.09
R_S_8, R_S_12, R_S_14	8.54	0.07	0.10
R_S_8, R_S_12, R_S_15	7.96	0.09	0.10
R_S_8, R_S_13, R_S_14	9.38	0.08	0.10
R_S_8, R_S_13, R_S_15	7.51	0.10	0.11
R_S_8, R_S_14, R_S_15	8.86	0.10	0.10
R_S_9, R_S_10, R_S_11	11.45	0.12	0.11
R_S_9, R_S_10, R_S_12	7.45	0.14	0.12
R_S_9, R_S_10, R_S_13	8.12	0.17	0.12
R_S_9, R_S_10, R_S_14	18.17	0.14	0.12
R_S_9, R_S_10, R_S_15	18.91	0.20	0.13
R_S_9, R_S_11, R_S_12	7.43	0.09	0.10
R_S_9, R_S_11, R_S_13	6.75	0.10	0.11
R_S_9, R_S_11, R_S_14	7.93	0.10	0.11
R_S_9, R_S_11, R_S_15	8.24	0.13	0.12
R_S_9, R_S_12, R_S_13	6.84	0.11	0.11
R_S_9, R_S_12, R_S_14	8.10	0.11	0.12
R_S_9, R_S_12, R_S_15	6.90	0.14	0.12
R_S_9, R_S_13, R_S_14	7.62	0.12	0.12
R_S_9, R_S_13, R_S_15	7.14	0.17	0.12
R_S_9, R_S_14, R_S_15	15.75	0.15	0.12
R_S_10, R_S_11, R_S_12	8.28	0.11	0.11
R_S_10, R_S_11, R_S_13	7.52	0.13	0.12
R_S_10, R_S_11, R_S_14	8.38	0.11	0.11
R_S_10, R_S_11, R_S_15	9.57	0.16	0.12
R_S_10, R_S_12, R_S_13	8.37	0.14	0.12
R_S_10, R_S_12, R_S_14	8.93	0.13	0.11
R_S_10, R_S_12, R_S_15	8.25	0.17	0.12
R_S_10, R_S_13, R_S_14	9.23	0.15	0.12
R_S_10, R_S_13, R_S_15	8.46	0.22	0.13
R_S_10, R_S_14, R_S_15	18.12	0.18	0.12
R_S_11, R_S_12, R_S_13	10.70	0.10	0.11
R_S_11, R_S_12, R_S_14	7.98	0.08	0.11
R_S_11, R_S_12, R_S_15	8.52	0.11	0.11
R_S_11, R_S_13, R_S_14	8.08	0.10	0.11
R_S_11, R_S_13, R_S_15	7.46	0.13	0.11
R_S_11, R_S_14, R_S_15	8.18	0.11	0.11
R_S_12, R_S_13, R_S_14	11.18	0.10	0.11
R_S_12, R_S_13, R_S_15	10.60	0.14	0.12
R_S_12, R_S_14, R_S_15	10.07	0.13	0.12
R_S_13, R_S_14, R_S_15	10.18	0.16	0.12
R_S_8, R_S_9, R_S_10, R_S_11	5.47	0.00	0.02
R_S_8, R_S_9, R_S_10, R_S_12	2.54	0.00	0.02
R_S_8, R_S_9, R_S_10, R_S_13	3.47	0.00	0.02
R_S_8, R_S_9, R_S_10, R_S_14	5.03	0.00	0.02
R_S_8, R_S_9, R_S_10, R_S_15	4.13	0.01	0.02
R_S_8, R_S_9, R_S_11, R_S_12	4.25	0.00	0.02
R_S_8, R_S_9, R_S_11, R_S_13	4.45	0.00	0.02
R_S_8, R_S_9, R_S_11, R_S_14	4.75	0.00	0.01
R_S_8, R_S_9, R_S_11, R_S_15	3.85	0.00	0.02
R_S_8, R_S_9, R_S_12, R_S_13	3.30	0.00	0.02
R_S_8, R_S_9, R_S_12, R_S_14	3.11	0.00	0.02
R_S_8, R_S_9, R_S_12, R_S_15	2.61	0.00	0.02
R_S_8, R_S_9, R_S_13, R_S_14	3.88	0.00	0.02
R_S_8, R_S_9, R_S_13, R_S_15	3.19	0.00	0.02
R_S_8, R_S_9, R_S_14, R_S_15	4.71	0.00	0.02
R_S_8, R_S_10, R_S_11, R_S_12	4.88	0.00	0.02
R_S_8, R_S_10, R_S_11, R_S_13	5.36	0.00	0.02
R_S_8, R_S_10, R_S_11, R_S_14	5.68	0.00	0.02
R_S_8, R_S_10, R_S_11, R_S_15	4.73	0.00	0.02
R_S_8, R_S_10, R_S_12, R_S_13	4.76	0.00	0.02
R_S_8, R_S_10, R_S_12, R_S_14	4.68	0.00	0.01
R_S_8, R_S_10, R_S_12, R_S_15	4.00	0.00	0.02
R_S_8, R_S_10, R_S_13, R_S_14	5.49	0.00	0.02
R_S_8, R_S_10, R_S_13, R_S_15	4.45	0.01	0.02
R_S_8, R_S_10, R_S_14, R_S_15	5.69	0.00	0.02
R_S_8, R_S_11, R_S_12, R_S_13	8.02	0.00	0.01
R_S_8, R_S_11, R_S_12, R_S_14	5.78	0.00	0.02
R_S_8, R_S_11, R_S_12, R_S_15	5.03	0.00	0.02
R_S_8, R_S_11, R_S_13, R_S_14	6.55	0.00	0.02
R_S_8, R_S_11, R_S_13, R_S_15	5.26	0.00	0.02
R_S_8, R_S_11, R_S_14, R_S_15	5.45	0.00	0.02
R_S_8, R_S_12, R_S_13, R_S_14	6.21	0.00	0.01
R_S_8, R_S_12, R_S_13, R_S_15	5.23	0.00	0.02
R_S_8, R_S_12, R_S_14, R_S_15	4.47	0.00	0.02
R_S_8, R_S_13, R_S_14, R_S_15	5.61	0.00	0.02
R_S_9, R_S_10, R_S_11, R_S_12	4.61	0.00	0.02
R_S_9, R_S_10, R_S_11, R_S_13	4.44	0.00	0.02
R_S_9, R_S_10, R_S_11, R_S_14	5.43	0.00	0.02
R_S_9, R_S_10, R_S_11, R_S_15	6.22	0.00	0.02
R_S_9, R_S_10, R_S_12, R_S_13	3.83	0.00	0.02
R_S_9, R_S_10, R_S_12, R_S_14	4.97	0.01	0.02
R_S_9, R_S_10, R_S_12, R_S_15	4.42	0.01	0.03
R_S_9, R_S_10, R_S_13, R_S_14	5.28	0.01	0.02
R_S_9, R_S_10, R_S_13, R_S_15	5.33	0.01	0.03
R_S_9, R_S_10, R_S_14, R_S_15	11.59	0.01	0.02
R_S_9, R_S_11, R_S_12, R_S_13	4.08	0.00	0.02
R_S_9, R_S_11, R_S_12, R_S_14	3.82	0.00	0.02
R_S_9, R_S_11, R_S_12, R_S_15	3.99	0.00	0.02
R_S_9, R_S_11, R_S_13, R_S_14	4.38	0.00	0.02
R_S_9, R_S_11, R_S_13, R_S_15	4.06	0.01	0.02
R_S_9, R_S_11, R_S_14, R_S_15	4.70	0.00	0.02
R_S_9, R_S_12, R_S_13, R_S_14	3.80	0.00	0.02
R_S_9, R_S_12, R_S_13, R_S_15	3.37	0.01	0.02
R_S_9, R_S_12, R_S_14, R_S_15	4.68	0.01	0.03
R_S_9, R_S_13, R_S_14, R_S_15	4.61	0.01	0.03
R_S_10, R_S_11, R_S_12, R_S_13	4.85	0.00	0.02
R_S_10, R_S_11, R_S_12, R_S_14	4.32	0.00	0.02
R_S_10, R_S_11, R_S_12, R_S_15	4.90	0.01	0.02
R_S_10, R_S_11, R_S_13, R_S_14	4.69	0.00	0.02
R_S_10, R_S_11, R_S_13, R_S_15	4.82	0.01	0.03
R_S_10, R_S_11, R_S_14, R_S_15	5.34	0.00	0.02
R_S_10, R_S_12, R_S_13, R_S_14	5.41	0.01	0.02
