Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_8, R_S_9	5.27	0.66	0.30
R_S_8, R_S_10	4.84	0.71	0.28
R_S_8, R_S_11	9.82	0.45	0.28
R_S_8, R_S_12	7.92	0.56	0.30
R_S_8, R_S_13	7.74	0.67	0.28
R_S_8, R_S_14	5.47	0.53	0.28
R_S_8, R_S_15	4.56	0.75	0.28
R_S_9, R_S_10	12.60	1.21	0.31
R_S_9, R_S_11	5.30	0.67	0.29
R_S_9, R_S_12	2.38	0.84	0.31
R_S_9, R_S_13	2.40	1.12	0.32
R_S_9, R_S_14	12.30	0.78	0.28
R_S_9, R_S_15	9.97	1.32	0.34
R_S_10, R_S_11	6.94	0.75	0.27
R_S_10, R_S_12	2.43	0.95	0.31
R_S_10, R_S_13	4.37	1.26	0.32
R_S_10, R_S_14	12.40	0.92	0.29
R_S_10, R_S_15	14.28	1.57	0.33
R_S_11, R_S_12	6.91	0.56	0.27
R_S_11, R_S_13	3.15	0.68	0.28
R_S_11, R_S_14	3.56	0.56	0.28
R_S_11, R_S_15	3.85	0.79	0.27
R_S_12, R_S_13	12.11	0.88	0.31
R_S_12, R_S_14	3.85	0.65	0.28
R_S_12, R_S_15	5.00	1.04	0.32
R_S_13, R_S_14	3.57	0.81	0.30
R_S_13, R_S_15	5.69	1.40	0.34
R_S_14, R_S_15	10.08	0.95	0.30
R_S_8, R_S_9, R_S_10	0.78	0.01	0.03
R_S_8, R_S_9, R_S_11	1.16	0.00	0.02
R_S_8, R_S_9, R_S_12	0.28	0.01	0.03
R_S_8, R_S_9, R_S_13	0.38	0.01	0.03
R_S_8, R_S_9, R_S_14	1.23	0.01	0.03
R_S_8, R_S_9, R_S_15	0.43	0.01	0.03
R_S_8, R_S_10, R_S_11	1.48	0.00	0.02
R_S_8, R_S_10, R_S_12	0.24	0.01	0.03
R_S_8, R_S_10, R_S_13	0.76	0.01	0.03
R_S_8, R_S_10, R_S_14	1.28	0.01	0.03
R_S_8, R_S_10, R_S_15	0.67	0.01	0.03
R_S_8, R_S_11, R_S_12	1.58	0.00	0.02
R_S_8, R_S_11, R_S_13	0.56	0.00	0.02
R_S_8, R_S_11, R_S_14	0.77	0.00	0.02
R_S_8, R_S_11, R_S_15	0.48	0.00	0.02
R_S_8, R_S_12, R_S_13	2.02	0.01	0.03
R_S_8, R_S_12, R_S_14	0.44	0.00	0.02
R_S_8, R_S_12, R_S_15	0.69	0.01	0.03
R_S_8, R_S_13, R_S_14	0.66	0.01	0.03
R_S_8, R_S_13, R_S_15	0.74	0.01	0.03
R_S_8, R_S_14, R_S_15	0.23	0.01	0.03
R_S_9, R_S_10, R_S_11	1.04	0.01	0.03
R_S_9, R_S_10, R_S_12	0.50	0.01	0.03
R_S_9, R_S_10, R_S_13	0.37	0.02	0.04
R_S_9, R_S_10, R_S_14	2.28	0.01	0.03
R_S_9, R_S_10, R_S_15	3.01	0.02	0.04
R_S_9, R_S_11, R_S_12	0.38	0.01	0.03
R_S_9, R_S_11, R_S_13	0.23	0.01	0.03
R_S_9, R_S_11, R_S_14	0.76	0.01	0.03
R_S_9, R_S_11, R_S_15	0.31	0.01	0.03
R_S_9, R_S_12, R_S_13	0.22	0.01	0.03
R_S_9, R_S_12, R_S_14	0.73	0.01	0.03
R_S_9, R_S_12, R_S_15	0.10	0.01	0.04
R_S_9, R_S_13, R_S_14	0.44	0.01	0.03
R_S_9, R_S_13, R_S_15	0.27	0.02	0.04
R_S_9, R_S_14, R_S_15	1.85	0.01	0.03
R_S_10, R_S_11, R_S_12	1.10	0.01	0.03
R_S_10, R_S_11, R_S_13	0.41	0.01	0.03
R_S_10, R_S_11, R_S_14	0.87	0.01	0.03
R_S_10, R_S_11, R_S_15	0.99	0.01	0.03
R_S_10, R_S_12, R_S_13	0.20	0.01	0.04
R_S_10, R_S_12, R_S_14	0.74	0.01	0.03
R_S_10, R_S_12, R_S_15	0.70	0.02	0.04
R_S_10, R_S_13, R_S_14	0.39	0.01	0.04
R_S_10, R_S_13, R_S_15	0.66	0.02	0.04
R_S_10, R_S_14, R_S_15	2.86	0.02	0.04
R_S_11, R_S_12, R_S_13	0.50	0.01	0.03
R_S_11, R_S_12, R_S_14	0.95	0.00	0.02
R_S_11, R_S_12, R_S_15	0.97	0.01	0.03
R_S_11, R_S_13, R_S_14	0.61	0.01	0.03
R_S_11, R_S_13, R_S_15	0.30	0.01	0.03
R_S_11, R_S_14, R_S_15	0.85	0.01	0.03
R_S_12, R_S_13, R_S_14	0.47	0.01	0.03
R_S_12, R_S_13, R_S_15	0.58	0.01	0.04
R_S_12, R_S_14, R_S_15	0.72	0.01	0.03
R_S_13, R_S_14, R_S_15	0.67	0.01	0.04
R_S_8, R_S_9, R_S_10, R_S_11	0.36	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13	0.11	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_14	0.23	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_15	0.20	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12	0.14	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_14	0.14	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_15	0.12	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13	0.13	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_14	0.14	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_13, R_S_14	0.13	0.00	0.00
R_S_8, R_S_9, R_S_13, R_S_15	0.11	0.00	0.00
R_S_8, R_S_9, R_S_14, R_S_15	0.22	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12	0.25	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13	0.12	0.00	0.01
R_S_8, R_S_10, R_S_11, R_S_14	0.25	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_15	0.21	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13	0.00	0.00	0.01
R_S_8, R_S_10, R_S_12, R_S_14	0.12	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_15	0.10	0.00	0.01
R_S_8, R_S_10, R_S_13, R_S_14	0.22	0.00	0.00
R_S_8, R_S_10, R_S_13, R_S_15	0.10	0.00	0.00
R_S_8, R_S_10, R_S_14, R_S_15	0.10	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13	0.28	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_14	0.30	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_15	0.25	0.00	0.00
R_S_8, R_S_11, R_S_13, R_S_14	0.27	0.00	0.00
R_S_8, R_S_11, R_S_13, R_S_15	0.00	0.00	0.00
