1)riId,2)riType,3)regulatorId,4)regulatorName,17)firstGene,19)targetTuOrGene,20)confidenceLevel
RDBECOLIRIC00001,tf-promoter,RDBECOLITFC00023,GadW,slp,RDBECOLITUC03133:slp-dctR,W
RDBECOLIRIC00002,tf-promoter,RDBECOLITFC00023,GadW,hdeA,RDBECOLITUC03315:hdeAB-yhiD,S
RDBECOLIRIC00003,tf-promoter,RDBECOLITFC00088,GalR,galP,RDBECOLITUC02515:galP,C
RDBECOLIRIC00004,tf-promoter,RDBECOLITFC00033,GalS,galP,RDBECOLITUC02515:galP,C
RDBECOLIRIC00005,tf-promoter,RDBECOLITFC00088,GalR,galP,RDBECOLITUC02515:galP,C
RDBECOLIRIC00006,tf-promoter,RDBECOLITFC00033,GalS,galP,RDBECOLITUC02515:galP,C
RDBECOLIRIC00007,tf-promoter,RDBECOLITFC00088,GalR,galP,RDBECOLITUC02515:galP,S
RDBECOLIRIC00008,tf-promoter,RDBECOLITFC00033,GalS,galP,RDBECOLITUC02515:galP,S
RDBECOLIRIC00009,tf-promoter,RDBECOLITFC00088,GalR,galP,RDBECOLITUC02515:galP,C
RDBECOLIRIC00010,tf-promoter,RDBECOLITFC00033,GalS,galP,RDBECOLITUC02515:galP,C
RDBECOLIRIC00014,tf-promoter,RDBECOLITFC00027,NagC,galP,RDBECOLITUC02515:galP,C
RDBECOLIRIC00018,tf-promoter,RDBECOLITFC00168,YefMB,yefM,RDBECOLITUC00725:yefM-yoeB,C
RDBECOLIRIC00020,tf-promoter,RDBECOLITFC00187,GadX,hdeA,RDBECOLITUC03315:hdeAB-yhiD,W
RDBECOLIRIC00021,tf-promoter,RDBECOLITFC00187,GadX,hdeA,RDBECOLITUC03315:hdeAB-yhiD,W
RDBECOLIRIC00022,tf-promoter,RDBECOLITFC00077,GadE,hdeA,RDBECOLITUC03315:hdeAB-yhiD,C
RDBECOLIRIC00023,tf-promoter,RDBECOLITFC00023,GadW,hdeA,RDBECOLITUC03315:hdeAB-yhiD,W
RDBECOLIRIC00024,tf-promoter,RDBECOLITFC00181,EvgA,yegR,RDBECOLITUC02553:yegRZ,S
RDBECOLIRIC00025,tf-promoter,RDBECOLITFC00159,MurR,murQ,RDBECOLITUC01718:murQP,C
RDBECOLIRIC00026,tf-promoter,RDBECOLITFC00159,MurR,murQ,RDBECOLITUC01719:murQP,C
RDBECOLIRIC00027,tf-promoter,RDBECOLITFC00057,Cra,aroP,RDBECOLITUC03049:aroP,C
RDBECOLIRIC00028,tf-promoter,RDBECOLITFC00057,Cra,aroP,RDBECOLITUC03647:aroP,C
RDBECOLIRIC00029,tf-promoter,RDBECOLITFC00057,Cra,manX,RDBECOLITUC03231:manXYZ,C
RDBECOLIRIC00030,tf-promoter,RDBECOLITFC00189,CRP,malI,RDBECOLITUC03222:malI,C
RDBECOLIRIC00031,tf-promoter,RDBECOLITFC00014,Lrp,yojI,RDBECOLITUC00784:yojI,W
RDBECOLIRIC00032,tf-promoter,RDBECOLITFC00014,Lrp,yojI,RDBECOLITUC00784:yojI,W
RDBECOLIRIC00033,tf-promoter,RDBECOLITFC00014,Lrp,yojI,RDBECOLITUC00784:yojI,W
RDBECOLIRIC00034,tf-promoter,RDBECOLITFC00014,Lrp,yojI,RDBECOLITUC00784:yojI,W
RDBECOLIRIC00035,tf-promoter,RDBECOLITFC00014,Lrp,yojI,RDBECOLITUC00784:yojI,W
RDBECOLIRIC00036,tf-promoter,RDBECOLITFC00014,Lrp,yojI,RDBECOLITUC00784:yojI,W
RDBECOLIRIC00046,tf-promoter,RDBECOLITFC00001,ExuR,exuT,RDBECOLITUC03185:exuT,W
RDBECOLIRIC00047,tf-promoter,RDBECOLITFC00189,CRP,exuT,RDBECOLITUC03185:exuT,W
RDBECOLIRIC00048,tf-promoter,RDBECOLITFC00067,RelB,relB,RDBECOLITUC01509:relBE-hokD,C
RDBECOLIRIC00049,tf-promoter,RDBECOLITFC00067,RelB,relB,RDBECOLITUC01509:relBE-hokD,S
RDBECOLIRIC00050,tf-promoter,RDBECOLITFC00207,RelBE,relB,RDBECOLITUC01509:relBE-hokD,S
RDBECOLIRIC00051,tf-promoter,RDBECOLITFC00207,RelBE,relB,RDBECOLITUC01509:relBE-hokD,S
RDBECOLIRIC00052,tf-promoter,RDBECOLITFC00195,PutA,putA,RDBECOLITUC03584:putA,C
RDBECOLIRIC00053,tf-promoter,RDBECOLITFC00195,PutA,putA,RDBECOLITUC03584:putA,C
RDBECOLIRIC00054,tf-promoter,RDBECOLITFC00195,PutA,putP,RDBECOLITUC03547:putP,C
RDBECOLIRIC00055,tf-promoter,RDBECOLITFC00195,PutA,putP,RDBECOLITUC03547:putP,C
RDBECOLIRIC00056,tf-promoter,RDBECOLITFC00214,LexA,dinJ,RDBECOLITUC00138:dinJ-yafQ,W
